"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","7.5","91.5","0.9","0.0","0.0","0.0","0.0","21.7"
"","high","9.0","108.0","1.0","0.0","0.1","0.0","0.0","24.3"
"","low","6.7","82.4","0.7","0.0","0.0","0.0","0.1","19.7"
"Tyreek Hill","KC","5.9","88.3","0.8","1.0","6.6","0.1","0.0","20.6"
"","high","6.2","102.0","1.0","1.3","9.8","0.1","0.0","22.1"
"","low","5.7","77.5","0.6","0.8","4.8","0.0","0.1","19.2"
"D.K. Metcalf","SEA","5.4","90.4","0.7","0.0","0.2","0.0","0.1","18.8"
"","high","6.0","109.0","1.0","0.1","0.5","0.0","0.0","22.3"
"","low","5.1","79.2","0.6","0.0","0.0","0.0","0.2","17.0"
"Stefon Diggs","BUF","6.7","83.3","0.5","0.2","1.2","0.0","0.0","18.3"
"","high","8.0","96.0","1.0","0.4","2.3","0.0","0.0","22.3"
"","low","5.7","75.6","0.4","0.0","0.0","0.0","0.1","16.8"
"Keenan Allen","LAC","6.8","79.7","0.6","0.1","0.7","0.0","0.1","18.2"
"","high","7.3","83.9","1.0","0.2","1.7","0.0","0.0","21.1"
"","low","6.1","72.7","0.5","0.0","0.0","0.0","0.1","16.8"
"Adam Thielen","MIN","5.7","75.7","0.7","0.2","1.3","0.0","0.1","17.7"
"","high","7.0","84.0","1.0","0.3","1.8","0.0","0.0","20.1"
"","low","5.0","70.9","0.5","0.0","0.1","0.0","0.1","16.3"
"Allen Robinson II","CHI","6.3","78.6","0.6","0.1","0.1","0.0","0.0","17.5"
"","high","7.0","84.5","1.0","0.1","0.2","0.0","0.0","20.7"
"","low","6.0","73.2","0.4","0.0","0.0","0.0","0.1","16.5"
"DeAndre Hopkins","ARI","6.4","78.9","0.5","0.0","0.1","0.0","0.1","17.1"
"","high","7.1","87.1","1.0","0.0","0.1","0.0","0.0","20.7"
"","low","4.7","69.3","0.3","0.0","0.0","0.0","0.1","15.7"
"Robert Woods","LAR","6.0","71.6","0.4","1.4","9.0","0.1","0.0","17.1"
"","high","6.3","80.5","1.0","1.7","11.6","0.1","0.0","20.0"
"","low","5.6","65.7","0.1","1.0","6.3","0.1","0.1","15.9"
"Justin Jefferson","MIN","5.0","82.0","0.6","0.0","0.0","0.0","0.0","16.7"
"","high","5.6","92.7","1.0","0.0","0.1","0.0","0.0","19.0"
"","low","4.5","69.4","0.4","0.0","0.0","0.0","0.1","14.8"
"Brandin Cooks","HOU","5.7","79.4","0.5","0.2","1.0","0.0","0.0","16.7"
"","high","8.0","89.0","1.0","0.5","2.7","0.0","0.0","20.6"
"","low","5.0","71.9","0.3","0.0","0.0","0.0","0.1","15.4"
"Cooper Kupp","LAR","6.2","73.0","0.5","0.2","1.4","0.0","0.0","16.4"
"","high","7.0","83.0","1.0","0.3","2.5","0.0","0.0","20.5"
"","low","5.5","66.3","0.3","0.1","0.7","0.0","0.1","15.3"
"Tyler Lockett","SEA","5.5","70.4","0.6","0.3","1.2","0.0","0.0","16.4"
"","high","6.3","80.5","1.0","0.6","3.9","0.0","0.0","18.0"
