"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Kareem Hunt","CLE","10.8","46.4","0.3","2.3","18.2","0.1","0.0","10.0"
"","high","12.0","53.0","0.3","2.9","22.1","0.2","0.0","10.6"
"","low","9.5","38.2","0.2","1.8","13.7","0.1","0.1","8.5"
"Cam Akers","LAR","12.4","53.7","0.4","1.2","9.3","0.1","0.1","9.5"
"","high","13.9","62.0","0.5","2.8","17.1","0.1","0.0","10.5"
"","low","10.0","43.8","0.2","0.6","4.3","0.0","0.1","7.8"
"J.D. McKissic","WAS","5.2","22.8","0.1","4.4","33.3","0.1","0.1","9.0"
"","high","7.4","31.1","0.2","5.8","39.6","0.2","0.0","10.5"
"","low","3.7","16.3","0.1","3.8","25.1","0.1","0.2","8.2"
"Giovani Bernard","CIN","9.9","34.8","0.2","2.6","22.1","0.1","0.0","8.9"
"","high","12.8","54.5","0.4","3.4","34.3","0.1","0.0","11.9"
"","low","8.6","14.5","0.1","1.8","16.5","0.1","0.1","5.4"
"Devin Singletary","BUF","9.3","44.5","0.2","2.4","17.5","0.1","0.1","8.7"
"","high","11.1","58.6","0.3","3.1","21.3","0.1","0.1","10.5"
"","low","7.6","33.5","0.1","1.8","14.0","0.0","0.1","7.7"
"Chase Edmonds","ARI","6.5","29.6","0.1","3.3","25.3","0.1","0.0","8.6"
"","high","7.4","37.8","0.2","3.7","27.6","0.2","0.0","9.1"
"","low","5.9","24.5","0.1","3.0","22.9","0.0","0.1","8.2"
"Damien Harris","NE","14.0","61.5","0.3","0.6","4.3","0.0","0.1","8.4"
"","high","15.8","79.7","0.3","1.0","6.6","0.0","0.0","9.3"
"","low","11.5","51.7","0.1","0.2","1.9","0.0","0.2","7.7"
"Antonio Gibson","WAS","7.8","36.4","0.3","2.2","14.2","0.0","0.1","8.1"
"","high","13.1","55.8","0.6","3.0","22.7","0.1","0.0","12.9"
"","low","4.8","20.8","0.0","1.4","7.4","0.0","0.1","6.3"
"Josh Jacobs","LV","11.7","41.6","0.3","1.7","10.9","0.0","0.1","8.1"
"","high","16.7","65.6","0.7","2.2","17.2","0.1","0.1","13.5"
"","low","8.5","29.4","0.0","1.1","7.5","0.0","0.1","6.1"
"Latavius Murray","NO","11.7","45.5","0.3","1.3","9.3","0.0","0.0","8.0"
"","high","12.9","54.1","0.4","2.2","14.0","0.0","0.0","8.3"
"","low","10.1","41.1","0.2","1.0","7.4","0.0","0.1","7.2"
"Devontae Booker","LV","8.4","38.9","0.3","1.7","13.5","0.0","0.1","7.9"
"","high","9.5","46.3","0.4","2.6","23.8","0.1","0.0","9.5"
"","low","6.6","28.3","0.2","1.0","7.9","0.0","0.1","5.8"
