"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","8.0","98.4","0.8","0.0","0.0","0.0","0.0","14.7"
"","high","9.0","113.0","1.0","0.0","0.1","0.0","0.0","17.3"
"","low","7.2","90.3","0.7","0.0","0.0","0.0","0.1","13.6"
"Julio Jones","ATL","6.8","97.2","0.6","0.1","0.5","0.0","0.0","13.1"
"","high","7.2","104.9","1.0","0.1","1.4","0.0","0.0","15.4"
"","low","6.5","88.8","0.4","0.0","0.0","0.0","0.1","11.8"
"DeAndre Hopkins","ARI","7.3","92.8","0.6","0.0","0.2","0.0","0.1","12.9"
"","high","8.2","107.0","1.0","0.1","0.4","0.0","0.0","16.6"
"","low","5.8","83.1","0.5","0.0","0.0","0.0","0.1","11.1"
"Keenan Allen","LAC","7.5","89.5","0.6","0.1","0.7","0.0","0.1","12.7"
"","high","8.8","104.0","1.0","0.3","1.9","0.0","0.0","15.4"
"","low","5.9","73.6","0.4","0.0","0.0","0.0","0.1","10.8"
"Stefon Diggs","BUF","6.5","87.6","0.6","0.2","1.2","0.0","0.1","12.4"
"","high","7.3","95.0","1.0","0.5","2.9","0.0","0.0","15.5"
"","low","5.3","74.6","0.4","0.0","0.0","0.0","0.1","10.4"
"Tyreek Hill","KC","4.9","72.4","0.6","0.8","5.4","0.1","0.0","12.0"
"","high","5.7","83.0","1.0","1.3","9.4","0.1","0.0","14.2"
"","low","4.0","53.0","0.5","0.3","1.8","0.0","0.1","9.3"
"Tyler Lockett","SEA","6.1","78.5","0.7","0.2","1.2","0.0","0.0","12.0"
"","high","7.0","88.0","1.0","0.7","4.7","0.0","0.0","14.8"
"","low","5.1","67.0","0.6","0.0","0.0","0.0","0.1","10.3"
"D.K. Metcalf","SEA","5.0","79.5","0.7","0.0","0.2","0.0","0.1","11.9"
"","high","6.0","107.0","1.0","0.1","0.5","0.0","0.0","16.7"
"","low","3.5","56.0","0.4","0.0","0.0","0.0","0.2","8.2"
"Adam Thielen","MIN","5.6","73.6","0.7","0.4","2.1","0.0","0.1","11.6"
"","high","7.0","84.0","1.0","0.6","3.6","0.0","0.0","14.3"
"","low","4.9","65.2","0.5","0.2","0.8","0.0","0.1","10.1"
"Terry McLaurin","WAS","5.8","82.3","0.5","0.1","0.5","0.0","0.0","11.4"
"","high","6.1","88.0","1.0","0.2","1.0","0.0","0.0","14.7"
"","low","5.5","72.7","0.3","0.1","0.2","0.0","0.1","9.8"
"Justin Jefferson","MIN","4.8","76.0","0.6","0.1","0.4","0.0","0.0","11.0"
"","high","5.1","99.0","1.0","0.2","1.4","0.0","0.0","13.9"
"","low","4.3","63.5","0.4","0.0","0.0","0.0","0.1","9.0"
"Allen Robinson II","CHI","6.3","78.7","0.5","0.1","0.4","0.0","0.1","10.6"
"","high","7.1","89.0","1.0","0.2","1.0","0.0","0.0","14.1"
"","low","5.6","71.2","0.3","0.1","0.1","0.0","0.1","9.5"
"Michael Thomas","NO","6.4","75.3","0.5","0.0","0.0","0.0","0.0","10.4"
"","high","7.6","84.8","1.0","0.0","0.3","0.0","0.0","12.7"
"","low","5.0","58.7","0.3","0.0","-0.2","0.0","0.1","7.7"
"Will Fuller V","HOU","4.6","69.4","0.6","0.1","0.5","0.0","0.0","10.4"
"","high","5.3","85.0","1.0","0.3","1.0","0.0","0.0","14.5"
"","low","3.3","44.0","0.4","0.0","0.0","0.0","0.1","7.1"
"A.J. Brown","TEN","4.4","68.6","0.6","0.1","1.2","0.0","0.0","10.3"
"","high","5.0","82.0","1.0","0.2","3.5","0.1","0.0","14.2"
"","low","3.1","48.0","0.3","0.0","0.0","0.0","0.0","7.3"
"Robby Anderson","CAR","5.7","75.7","0.5","0.1","0.3","0.0","0.1","10.2"
"","high","7.0","89.0","1.0","0.2","1.1","0.0","0.0","14.9"
"","low","4.9","65.5","0.3","0.0","0.0","0.0","0.1","8.5"
"D.J. Moore","CAR","5.3","75.4","0.4","0.2","2.1","0.0","0.1","10.0"
"","high","6.3","86.4","1.0","0.6","6.3","0.0","0.0","14.3"
"","low","4.3","68.7","0.1","0.0","0.0","0.0","0.1","8.3"
"Mike Williams","LAC","3.7","61.0","0.6","0.2","0.8","0.0","0.0","9.5"
"","high","5.0","68.8","1.0","0.3","1.7","0.0","0.0","12.5"
"","low","2.8","49.9","0.3","0.0","0.0","0.0","0.0","7.1"
"Chris Godwin","TB","5.0","64.7","0.5","0.0","0.1","0.0","0.0","9.5"
"","high","5.3","74.2","1.0","0.0","0.2","0.0","0.0","11.9"
"","low","4.7","59.0","0.2","0.0","0.0","0.0","0.0","8.6"
"Mike Evans","TB","4.3","61.8","0.6","0.0","0.0","0.0","0.0","9.5"
"","high","6.0","76.7","1.0","0.0","0.1","0.0","0.0","13.6"
"","low","3.4","51.2","0.4","0.0","0.0","0.0","0.0","7.8"
"Marvin Jones Jr.","DET","4.6","61.9","0.5","0.0","0.0","0.0","0.0","9.4"
"","high","6.0","73.0","1.0","0.1","0.1","0.0","0.0","13.3"
"","low","3.7","48.9","0.4","0.0","0.0","0.0","0.0","7.1"
"Darius Slayton","NYG","4.1","62.5","0.5","0.1","0.3","0.0","0.0","9.2"
"","high","5.0","83.0","1.0","0.2","1.2","0.0","0.0","14.3"
"","low","3.7","54.3","0.3","0.0","-0.3","0.0","0.1","7.5"
"DeVante Parker","MIA","4.6","65.3","0.4","0.0","0.0","0.0","0.0","9.1"
"","high","5.9","90.0","1.0","0.0","0.1","0.0","0.0","11.8"
"","low","3.7","51.6","0.2","0.0","0.0","0.0","0.1","6.8"
"Chase Claypool","PIT","3.8","53.0","0.5","0.6","4.4","0.0","0.1","8.8"
"","high","5.0","66.8","1.0","1.4","9.0","0.1","0.0","13.0"
"","low","2.3","27.0","0.2","0.2","1.0","0.0","0.2","3.8"
"Brandin Cooks","HOU","4.6","61.7","0.4","0.2","1.4","0.0","0.0","8.8"
"","high","6.0","75.9","1.0","0.5","2.8","0.0","0.0","12.8"
"","low","2.8","39.0","0.2","0.0","0.0","0.0","0.1","5.2"
"Amari Cooper","DAL","5.0","63.5","0.4","0.2","1.0","0.0","0.0","8.6"
"","high","6.3","79.0","1.0","0.4","1.9","0.0","0.0","12.5"
"","low","4.1","51.7","0.2","0.0","0.0","0.0","0.1","7.1"
"JuJu Smith-Schuster","PIT","4.9","58.8","0.5","0.0","0.1","0.0","0.0","8.6"
"","high","5.4","72.0","1.0","0.0","0.3","0.0","0.0","13.2"
"","low","3.7","43.5","0.3","0.0","0.0","0.0","0.1","6.4"
"John Brown","BUF","3.8","53.2","0.4","0.1","0.2","0.0","0.0","7.8"
"","high","6.0","71.0","1.0","0.1","0.6","0.0","0.0","13.1"
"","low","2.9","41.0","0.2","0.0","0.0","0.0","0.0","5.6"
"Marquise Brown","BAL","4.1","56.8","0.3","0.3","1.5","0.0","0.0","7.8"
"","high","4.7","64.3","0.4","1.0","7.5","0.0","0.0","8.3"
"","low","3.5","51.1","0.0","0.0","0.0","0.0","0.1","5.5"
"Jerry Jeudy","DEN","4.5","61.0","0.3","0.1","0.5","0.0","0.0","7.6"
"","high","5.5","79.0","0.5","0.3","1.9","0.0","0.0","11.0"
"","low","3.6","53.2","0.0","0.0","0.0","0.0","0.1","5.8"
"Tim Patrick","DEN","3.9","54.3","0.3","0.1","0.3","0.0","0.0","7.5"
"","high","5.0","62.5","1.0","0.2","1.0","0.0","0.0","11.4"
"","low","3.2","45.8","0.0","0.0","0.0","0.0","0.1","6.1"
"Sterling Shepard","NYG","5.1","58.5","0.2","0.2","1.7","0.0","0.0","7.5"
"","high","5.9","65.0","0.3","0.3","2.9","0.0","0.0","8.4"
"","low","4.8","53.4","0.0","0.1","0.7","0.0","0.1","6.5"
"Jakobi Meyers","NE","4.2","55.0","0.3","0.2","0.6","0.0","0.0","7.5"
"","high","5.2","68.3","1.0","0.2","1.1","0.0","0.0","12.4"
"","low","3.2","42.4","0.0","0.1","0.3","0.0","0.0","5.9"
"Henry Ruggs III","LV","3.5","49.6","0.4","0.4","2.2","0.0","0.0","7.4"
"","high","5.0","65.0","1.0","0.7","3.6","0.1","0.0","13.3"
"","low","2.8","37.8","0.1","0.2","0.9","0.0","0.1","5.8"
"Diontae Johnson","PIT","4.7","53.1","0.3","0.3","1.9","0.0","0.1","7.4"
"","high","6.4","69.3","0.6","0.4","3.2","0.0","0.0","9.2"
"","low","3.6","38.1","0.0","0.2","1.0","0.0","0.2","5.5"
"D.J. Chark Jr.","JAC","4.3","55.3","0.3","0.0","0.3","0.0","0.0","7.3"
"","high","5.0","64.3","0.4","0.1","0.8","0.0","0.0","7.5"
"","low","3.5","47.0","0.0","0.0","0.0","0.0","0.0","6.2"
"Corey Davis","TEN","4.3","55.4","0.3","0.1","0.5","0.0","0.0","7.3"
"","high","5.0","64.4","0.4","0.2","1.4","0.0","0.0","8.9"
"","low","3.4","37.0","0.0","0.0","0.0","0.0","0.0","4.9"
"Christian Kirk","ARI","4.0","51.0","0.3","0.3","2.4","0.0","0.0","7.0"
"","high","5.2","63.8","0.7","0.4","4.0","0.0","0.0","10.7"
"","low","2.9","31.0","0.0","0.1","0.3","0.0","0.1","4.2"
"Jamison Crowder","NYJ","4.9","56.5","0.2","0.1","0.5","0.0","0.1","6.9"
"","high","5.9","69.8","0.4","0.2","1.0","0.0","0.0","8.8"
"","low","2.0","25.0","0.0","0.0","0.0","0.0","0.1","2.5"
"Cole Beasley","BUF","4.5","52.7","0.3","0.0","0.0","0.0","0.0","6.8"
"","high","5.5","61.3","0.4","0.0","0.1","0.0","0.0","8.4"
"","low","3.8","43.0","0.0","0.0","0.0","0.0","0.0","4.3"
"Laviska Shenault Jr.","JAC","4.0","48.2","0.2","1.5","7.6","0.0","0.1","6.8"
"","high","5.2","62.0","0.3","2.6","11.4","0.1","0.0","8.2"
"","low","3.3","37.8","0.0","0.3","1.7","0.0","0.1","5.9"
"Emmanuel Sanders","NO","4.3","54.0","0.2","0.0","0.3","0.0","0.0","6.7"
"","high","5.0","64.0","0.4","0.1","0.7","0.0","0.0","8.0"
"","low","3.3","40.5","0.0","0.0","0.0","0.0","0.1","5.1"
"CeeDee Lamb","DAL","4.2","54.3","0.2","0.6","3.0","0.0","0.1","6.6"
"","high","5.2","66.0","0.3","1.0","4.4","0.0","0.0","8.0"
"","low","3.5","45.6","0.0","0.3","1.6","0.0","0.1","4.7"
"Mecole Hardman","KC","2.9","44.3","0.3","0.3","1.5","0.0","0.0","6.6"
"","high","3.4","53.1","0.6","0.3","2.3","0.0","0.0","8.2"
"","low","2.4","37.2","0.0","0.2","0.9","0.0","0.1","5.5"
"Danny Amendola","DET","4.3","53.9","0.2","0.0","0.1","0.0","0.0","6.4"
"","high","6.0","63.0","0.3","0.0","0.2","0.0","0.0","7.3"
"","low","3.2","42.4","0.0","0.0","0.0","0.0","0.1","5.4"
"Darnell Mooney","CHI","3.9","49.5","0.2","0.2","0.7","0.0","0.0","6.3"
"","high","4.6","58.7","0.4","0.3","1.4","0.0","0.0","7.3"
"","low","3.0","42.0","0.0","0.1","-0.1","0.0","0.1","4.7"
"Russell Gage","ATL","4.9","51.8","0.2","0.2","0.7","0.0","0.0","6.3"
"","high","6.3","62.3","0.3","0.3","1.5","0.0","0.0","7.3"
"","low","4.0","44.3","0.0","0.0","0.0","0.0","0.1","5.6"
"Antonio Brown","TB","3.4","43.1","0.3","0.1","0.4","0.0","0.0","6.1"
"","high","5.1","69.3","0.5","0.1","0.6","0.0","0.0","7.4"
"","low","1.4","19.0","0.0","0.1","0.2","0.0","0.0","3.0"
"Zach Pascal","IND","3.8","47.3","0.2","0.1","0.5","0.0","0.0","6.1"
"","high","5.0","55.1","0.4","0.2","1.3","0.0","0.0","7.5"
"","low","2.8","33.5","0.0","0.0","0.0","0.0","0.0","5.2"
"Curtis Samuel","CAR","3.3","35.8","0.2","1.4","9.6","0.1","0.0","6.0"
"","high","4.9","53.2","0.3","2.0","13.0","0.2","0.0","7.9"
