"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes II","KC","36.2","24.0","289.3","2.4","0.5","4.2","20.9","0.2","0.1","23.4"
"","high","38.0","25.0","315.0","3.0","0.0","5.0","26.0","0.3","0.0","29.7"
"","low","35.3","23.0","272.0","2.1","0.8","3.2","17.2","0.0","0.2","21.2"
"Kyler Murray","ARI","35.7","23.3","257.2","1.6","0.9","8.1","52.4","0.6","0.2","23.2"
"","high","38.5","25.0","291.0","2.0","0.8","9.0","61.0","1.0","0.1","28.9"
"","low","33.3","21.8","234.9","1.0","1.3","7.0","35.5","0.4","0.2","21.8"
"Russell Wilson","SEA","34.4","23.7","275.9","2.5","0.5","4.5","26.7","0.1","0.2","23.1"
"","high","36.7","26.0","294.0","3.0","0.0","5.3","29.8","0.2","0.1","29.6"
"","low","32.5","21.0","249.0","2.0","0.7","3.3","21.0","0.0","0.3","20.1"
"Josh Allen","BUF","36.5","22.5","271.4","1.8","0.9","6.9","38.2","0.4","0.3","22.2"
"","high","39.2","24.8","294.5","2.0","0.7","8.1","45.1","0.7","0.1","25.8"
"","low","33.0","19.8","242.4","1.5","1.0","5.7","28.2","0.0","0.4","20.8"
"Deshaun Watson","HOU","34.1","22.9","280.4","2.0","0.6","5.2","29.0","0.3","0.2","22.1"
"","high","41.0","26.0","307.0","2.1","0.0","6.0","35.8","0.4","0.0","25.6"
"","low","29.0","19.0","232.0","1.9","0.9","4.6","24.9","0.0","0.3","20.0"
"Justin Herbert","LAC","37.2","24.8","293.9","2.2","0.8","4.1","21.3","0.2","0.2","21.9"
"","high","40.0","29.0","326.0","3.0","0.6","5.4","28.4","0.4","0.1","28.7"
"","low","34.5","22.3","266.4","1.9","1.0","3.3","14.3","0.0","0.3","20.6"
"Lamar Jackson","BAL","27.8","17.4","212.4","1.4","0.7","9.3","53.7","0.4","0.3","19.9"
"","high","31.4","19.5","239.3","1.7","0.5","11.3","70.5","1.0","0.1","26.9"
"","low","23.4","14.7","176.6","1.0","1.0","7.7","41.3","0.2","0.4","18.8"
"Tom Brady","TB","37.2","24.3","282.8","2.2","0.5","1.5","3.0","0.1","0.1","19.6"
"","high","38.5","25.1","295.8","2.8","0.0","2.1","10.0","0.2","0.1","22.4"
"","low","35.0","23.0","260.3","1.9","0.8","0.0","0.0","0.0","0.2","17.8"
"Aaron Rodgers","GB","39.2","25.1","282.0","2.0","0.4","2.2","10.6","0.0","0.2","19.3"
"","high","46.0","28.0","341.0","2.3","0.0","3.4","17.2","0.1","0.0","23.3"
"","low","36.1","22.9","249.0","1.7","0.6","1.7","5.0","0.0","0.4","16.8"
"Cam Newton","NE","29.3","18.8","214.0","1.2","0.9","8.9","40.9","0.5","0.2","18.4"
"","high","32.7","20.1","230.0","1.4","0.6","10.0","47.0","1.0","0.1","24.5"
"","low","27.0","17.0","195.0","0.8","1.1","8.0","37.1","0.3","0.2","16.7"
"Ben Roethlisberger","PIT","36.5","23.8","268.8","2.0","0.7","1.8","5.4","0.1","0.1","18.3"
"","high","39.0","25.0","292.0","2.3","0.0","2.5","16.0","0.1","0.0","22.2"
"","low","32.7","21.0","241.7","1.7","0.9","0.0","0.0","0.0","0.2","16.7"
"Matt Ryan","ATL","38.1","25.5","296.5","1.8","0.7","2.0","7.9","0.1","0.2","18.3"
"","high","41.0","28.0","338.0","2.0","0.6","2.6","13.0","0.1","0.1","22.0"
"","low","34.0","22.0","277.0","1.5","1.0","1.0","1.0","0.0","0.2","17.8"
"Matthew Stafford","DET","38.5","25.3","292.9","1.8","0.7","2.3","8.5","0.0","0.2","18.3"
"","high","49.0","33.0","374.0","2.0","0.6","4.0","10.0","0.1","0.1","23.2"
"","low","35.4","22.4","271.7","1.7","1.0","1.1","6.0","0.0","0.3","17.0"
"Drew Brees","NO","35.9","25.7","283.5","1.8","0.5","1.3","1.9","0.1","0.1","17.9"
"","high","39.8","28.0","317.0","2.1","0.0","1.7","6.0","0.2","0.0","21.4"
"","low","31.0","23.0","257.0","1.5","0.8","0.7","-0.1","0.0","0.2","16.7"
"Derek Carr","LV","35.2","24.2","265.8","1.9","0.6","3.2","10.1","0.1","0.3","17.9"
"","high","36.3","25.1","281.8","2.0","0.4","8.0","14.6","0.1","0.2","23.0"
"","low","33.6","23.6","246.0","1.8","1.0","1.8","5.2","0.0","0.4","17.4"
"Ryan Tannehill","TEN","30.3","20.1","242.2","1.9","0.8","3.2","15.2","0.1","0.3","17.3"
"","high","32.9","22.0","264.6","2.2","0.7","3.8","17.1","0.2","0.1","21.7"
"","low","28.0","18.4","210.0","1.6","1.0","2.7","11.1","0.0","0.5","16.0"
"Kirk Cousins","MIN","30.7","20.5","249.3","1.9","0.8","1.8","6.4","0.1","0.2","16.6"
"","high","33.0","22.0","265.0","2.1","0.6","2.8","12.0","0.1","0.1","21.7"
"","low","27.5","18.2","215.8","1.7","1.0","1.0","4.0","0.0","0.3","15.0"
"Teddy Bridgewater","CAR","35.9","24.1","261.6","1.4","0.9","4.1","15.2","0.1","0.1","16.3"
"","high","40.0","27.0","282.0","2.0","0.7","5.0","25.0","0.2","0.0","22.9"
"","low","34.2","23.0","247.0","1.1","1.1","2.7","6.8","0.0","0.2","15.3"
"Daniel Jones","NYG","34.0","21.8","230.2","1.5","1.0","4.5","28.4","0.1","0.4","15.7"
"","high","36.0","22.1","248.0","2.0","0.8","6.0","38.9","0.2","0.2","22.9"
"","low","31.0","21.4","221.0","1.2","1.2","3.8","22.5","0.0","0.8","15.0"
