"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Drew Lock","DEN","34.7","21.3","246.6","1.5","0.9","2.6","8.2","0.1","0.2","15.1"
"","high","36.0","23.1","259.1","1.9","0.7","4.3","11.8","0.2","0.1","17.1"
"","low","33.4","18.1","216.6","1.0","1.3","1.0","4.0","0.0","0.3","14.9"
"Nick Foles","CHI","37.6","24.4","262.9","1.5","1.0","1.6","3.6","0.1","0.2","15.0"
"","high","42.0","28.0","303.0","1.9","0.8","2.4","9.0","0.2","0.1","17.2"
"","low","33.4","20.0","240.0","1.0","1.4","0.0","1.0","0.0","0.3","13.8"
"Philip Rivers","IND","34.8","22.9","259.0","1.6","1.0","1.2","2.3","0.0","0.1","14.7"
"","high","39.0","26.0","301.0","2.0","0.6","1.8","4.0","0.1","0.1","20.9"
"","low","31.8","20.4","235.0","1.1","2.0","0.0","0.0","0.0","0.2","13.5"
"Jake Luton","JAC","35.1","21.8","241.1","1.3","0.9","2.3","9.1","0.1","0.2","14.0"
"","high","38.0","23.5","259.1","1.7","0.7","3.5","12.4","0.1","0.1","16.8"
"","low","30.8","19.3","216.3","1.0","1.0","1.5","6.1","0.0","0.3","14.7"
"Tua Tagovailoa","MIA","33.4","21.1","233.9","1.3","0.8","2.7","10.2","0.1","0.3","13.7"
"","high","38.2","23.7","267.2","1.5","0.7","4.0","13.7","0.1","0.1","16.4"
"","low","28.7","19.9","207.0","1.0","1.0","1.9","4.8","0.0","0.5","13.9"
"Nick Mullens","SF","31.9","21.0","249.7","1.3","1.0","1.1","3.3","0.0","0.2","13.6"
"","high","34.0","22.3","273.2","1.6","0.9","2.1","8.4","0.1","0.1","16.7"
"","low","27.4","18.2","216.0","1.0","1.3","0.0","0.0","0.0","0.3","11.5"
"Garrett Gilbert","DAL","33.0","19.9","222.4","1.0","1.1","1.8","9.9","0.1","0.2","11.5"
"","high","37.2","22.1","251.4","1.2","0.6","2.6","24.8","0.2","0.1","15.5"
"","low","30.0","16.9","202.0","0.8","2.0","1.0","3.4","0.0","0.3","9.2"
"Joe Flacco","NYJ","27.6","17.4","189.3","0.8","0.7","1.3","4.4","0.0","0.1","9.8"
"","high","37.0","24.0","235.4","1.2","0.1","2.2","9.0","0.1","0.0","13.6"
"","low","1.3","0.8","8.0","0.0","1.0","0.0","0.0","0.0","0.2","0.2"
"Ryan Fitzpatrick","MIA","20.6","12.9","106.1","0.5","0.4","2.2","8.1","0.0","0.0","6.5"
"","high","40.0","25.0","298.0","1.4","0.0","4.0","23.0","0.1","0.0","18.2"
"","low","1.2","0.8","8.4","0.1","1.2","0.3","0.1","0.0","0.1","0.8"
"Sam Darnold","NYJ","23.2","13.2","135.5","0.5","1.3","1.8","9.0","0.1","0.1","5.6"
"","high","32.4","18.7","198.0","0.9","0.9","2.9","16.6","0.1","0.1","10.4"
"","low","14.0","7.6","72.9","0.0","1.7","0.8","1.3","0.0","0.1","10.4"
"Jarrett Stidham","NE","20.9","10.5","93.4","0.6","0.7","1.9","6.4","0.0","0.1","5.5"
"","high","35.0","15.6","191.0","2.0","0.0","3.1","18.0","0.1","0.0","13.7"
"","low","1.2","0.8","8.9","0.0","1.9","0.3","0.0","0.0","0.2","0.5"
"Cooper Rush","DAL","14.8","9.2","98.6","0.3","0.3","1.1","2.0","0.0","0.1","4.4"
"","high","26.1","16.4","173.8","0.4","0.1","2.0","3.3","0.0","0.0","1.2"
"","low","3.5","2.0","23.4","0.1","0.6","0.2","0.6","0.0","0.2","1.2"
"Brett Rypien","DEN","16.7","10.9","96.9","0.5","1.2","1.2","3.8","0.0","0.1","3.8"
"","high","40.0","27.0","311.0","1.8","0.1","2.1","13.0","0.0","0.0","12.8"
"","low","1.4","0.9","10.5","0.0","4.1","0.3","0.0","0.0","0.2","0.6"
"Taysom Hill","NO","1.0","0.9","10.2","0.0","0.1","1.5","13.5","0.2","0.0","3.0"
"","high","1.2","1.0","26.4","0.1","0.0","3.0","30.8","0.9","0.0","3.5"
"","low","0.7","0.5","4.6","0.0","0.2","0.1","0.2","0.0","0.0","0.8"
"C.J. Beathard","SF","11.1","6.4","54.6","0.2","0.3","0.9","1.9","0.0","0.1","2.5"
"","high","20.9","12.1","131.1","0.5","0.1","1.4","4.2","0.0","0.0","1.3"
"","low","1.2","0.8","10.4","0.1","0.7","0.3","0.0","0.0","0.3","0.8"
"Mike Glennon","JAC","12.7","7.4","54.7","0.1","0.2","1.2","2.0","0.0","0.1","2.2"
"","high","23.6","13.6","134.6","0.1","0.0","2.3","5.9","0.0","0.0","1.0"
"","low","1.8","1.2","12.7","0.1","0.7","0.1","0.1","0.0","0.2","0.9"
"Tyler Bray","CHI","0.0","0.0","24.3","0.1","0.1","0.0","0.0","0.0","0.0","1.1"
"","high","0.0","0.0","24.3","0.1","0.1","0.0","0.0","0.0","0.0","1.1"
"","low","0.0","0.0","24.3","0.1","0.1","0.0","0.0","0.0","0.0","1.1"
"James Morgan","NYJ","0.0","0.0","28.4","0.1","0.2","0.0","0.0","0.0","0.0","1.0"
"","high","0.0","0.0","28.4","0.1","0.2","0.0","0.0","0.0","0.0","1.1"
"","low","0.0","0.0","28.4","0.1","0.2","0.0","0.0","0.0","0.0","1.1"
"Brett Hundley","ARI","1.6","0.9","11.1","0.1","0.0","0.3","1.6","0.0","0.0","1.0"
"","high","1.6","0.9","11.1","0.1","0.0","0.3","1.6","0.0","0.0","1.0"
"","low","1.6","0.9","11.1","0.1","0.0","0.3","1.6","0.0","0.0","1.0"
"Alex Smith","WAS","1.3","0.9","15.4","0.1","0.0","0.2","0.4","0.0","0.0","1.0"
"","high","1.3","0.9","21.5","0.1","0.0","0.2","0.8","0.0","0.0","1.2"
"","low","1.3","0.9","9.3","0.1","0.1","0.2","0.0","0.0","0.0","0.9"
"Ben DiNucci","DAL","8.4","4.9","45.9","0.0","0.4","0.7","0.6","0.0","0.1","1.0"
"","high","8.4","4.9","45.9","0.0","0.4","0.7","0.6","0.0","0.1","0.0"
"","low","8.4","4.9","45.9","0.0","0.4","0.7","0.6","0.0","0.1","0.0"
"Marcus Mariota","LV","1.4","1.0","10.5","0.1","0.0","0.3","1.3","0.0","0.0","1.0"
"","high","1.4","1.0","10.5","0.1","0.0","0.3","1.3","0.0","0.0","1.0"
"","low","1.4","1.0","10.5","0.1","0.0","0.3","1.3","0.0","0.0","1.0"
"Jameis Winston","NO","4.7","2.7","25.2","0.1","0.2","0.6","1.5","0.0","0.1","0.9"
"","high","7.6","4.2","38.5","0.1","0.0","1.0","2.1","0.0","0.0","1.0"
"","low","1.8","1.2","11.8","0.0","0.4","0.2","0.9","0.0","0.1","1.0"
"Chad Henne","KC","1.4","1.0","14.1","0.1","0.0","0.2","0.3","0.0","0.0","0.9"
"","high","1.4","1.0","18.4","0.1","0.0","0.2","0.3","0.0","0.0","1.1"
"","low","1.4","1.0","9.7","0.1","0.1","0.2","0.3","0.0","0.0","0.8"
"Matt Schaub","ATL","1.6","1.1","11.9","0.1","0.0","0.2","0.2","0.0","0.0","0.9"
"","high","1.6","1.1","11.9","0.1","0.0","0.2","0.2","0.0","0.0","0.9"
"","low","1.6","1.1","11.9","0.1","0.0","0.2","0.2","0.0","0.0","0.9"
"Chase Daniel","DET","5.2","2.9","22.7","0.1","0.2","0.7","1.0","0.0","0.0","0.8"
"","high","9.0","4.9","43.5","0.1","0.0","1.2","2.1","0.0","0.0","0.9"
"","low","1.4","0.9","10.4","0.0","0.4","0.2","0.0","0.0","0.1","0.7"
"Tyrod Taylor","LAC","1.5","1.0","11.1","0.1","0.0","0.3","0.6","0.0","0.0","0.8"
"","high","1.5","1.0","13.0","0.1","0.0","0.3","1.1","0.0","0.0","1.0"
"","low","1.5","1.0","9.1","0.0","0.0","0.3","0.0","0.0","0.0","0.6"
"Mason Rudolph","PIT","1.5","1.0","11.7","0.1","0.0","0.2","0.6","0.0","0.0","0.8"
"","high","1.5","1.0","12.8","0.1","0.0","0.2","1.1","0.0","0.0","0.9"
"","low","1.5","1.0","10.6","0.1","0.1","0.2","0.1","0.0","0.0","0.7"
"AJ McCarron","HOU","1.4","1.0","11.9","0.1","0.0","0.1","0.2","0.0","0.0","0.7"
"","high","1.4","1.0","12.3","0.1","0.0","0.1","0.3","0.0","0.0","0.9"
"","low","1.4","1.0","11.5","0.0","0.1","0.1","0.0","0.0","0.0","0.6"
"Blaine Gabbert","TB","1.5","0.9","11.6","0.1","0.1","0.3","0.2","0.0","0.0","0.7"
"","high","1.5","0.9","12.6","0.1","0.0","0.3","0.4","0.0","0.0","0.9"
"","low","1.5","0.9","10.6","0.0","0.1","0.3","0.0","0.0","0.0","0.6"
"Geno Smith","SEA","1.1","0.6","6.1","0.1","0.0","0.2","0.3","0.0","0.0","0.7"
"","high","1.1","0.6","6.1","0.1","0.0","0.2","0.3","0.0","0.0","0.7"
"","low","1.1","0.6","6.1","0.1","0.0","0.2","0.3","0.0","0.0","0.7"
"Colt McCoy","NYG","1.4","0.9","11.7","0.1","0.1","0.1","0.4","0.0","0.0","0.6"
"","high","1.4","0.9","14.0","0.1","0.0","0.1","0.7","0.0","0.0","0.7"
"","low","1.4","0.9","9.3","0.0","0.1","0.1","0.2","0.0","0.0","0.6"
"Logan Woodside","TEN","0.9","0.6","9.2","0.1","0.0","0.1","0.2","0.0","0.0","0.6"
"","high","0.9","0.6","12.0","0.1","0.0","0.1","0.3","0.0","0.0","0.7"
"","low","0.9","0.6","6.4","0.0","0.1","0.1","0.0","0.0","0.0","0.6"
"Matt Barkley","BUF","1.1","0.7","9.4","0.1","0.0","0.2","0.1","0.0","0.0","0.6"
"","high","1.1","0.7","11.0","0.1","0.0","0.2","0.2","0.0","0.0","0.7"
"","low","1.1","0.7","7.9","0.0","0.1","0.2","0.0","0.0","0.0","0.5"
"Jeff Driskel","DEN","0.0","0.0","0.0","0.0","0.0","1.1","5.0","0.0","0.0","0.5"
"","high","0.0","0.0","0.0","0.0","0.0","1.1","5.0","0.0","0.0","0.6"
"","low","0.0","0.0","0.0","0.0","0.0","1.1","5.0","0.0","0.0","0.6"
"Jacoby Brissett","IND","0.7","0.5","10.1","0.0","0.0","0.1","0.3","0.0","0.0","0.5"
"","high","0.7","0.5","15.4","0.0","0.0","0.1","0.6","0.0","0.0","0.8"
"","low","0.7","0.5","4.7","0.0","0.1","0.1","0.0","0.0","0.0","0.3"
"Sean Mannion","MIN","1.1","0.7","9.1","0.0","0.0","0.3","0.1","0.0","0.0","0.4"
"","high","1.1","0.7","9.2","0.0","0.0","0.3","0.2","0.0","0.0","0.5"
"","low","1.1","0.7","9.0","0.0","0.1","0.3","0.0","0.0","0.0","0.4"
"Tim Boyle","GB","0.7","0.5","6.6","0.0","0.0","0.2","0.1","0.0","0.0","0.3"
"","high","0.7","0.5","8.1","0.0","0.0","0.2","0.2","0.0","0.0","0.5"
"","low","0.7","0.5","5.0","0.0","0.0","0.2","0.0","0.0","0.0","0.2"
"Robert Griffin III","BAL","0.6","0.4","3.9","0.0","0.0","0.3","1.3","0.0","0.0","0.3"
"","high","1.1","0.7","7.8","0.0","0.0","0.3","1.6","0.0","0.0","0.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.2","1.0","0.0","0.0","0.1"
""
""
