"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Zack Moss","BUF","10.4","42.6","0.4","1.5","11.4","0.1","0.1","9.7"
"","high","13.0","55.0","1.0","2.8","16.6","0.1","0.0","14.1"
"","low","7.6","31.0","0.3","0.8","7.3","0.0","0.1","7.9"
"Damien Harris","NE","13.3","55.9","0.4","1.0","6.4","0.0","0.1","9.6"
"","high","20.0","75.0","1.0","2.6","18.0","0.1","0.0","15.3"
"","low","6.6","27.5","0.2","0.1","1.0","0.0","0.1","5.3"
"Le'Veon Bell","KC","10.0","37.9","0.2","2.6","17.7","0.1","0.1","9.5"
"","high","14.7","51.1","0.5","4.3","24.8","0.2","0.0","12.7"
"","low","7.8","21.1","0.0","1.6","12.4","0.0","0.1","7.0"
"James White","NE","3.1","11.3","0.0","3.8","32.3","0.1","0.0","9.2"
"","high","4.6","17.9","0.1","5.0","40.3","0.3","0.0","10.5"
"","low","2.0","7.2","0.0","2.0","22.0","0.0","0.1","8.4"
"Wayne Gallman","NYG","10.2","42.9","0.2","2.0","13.7","0.0","0.1","9.1"
"","high","13.0","53.0","0.5","3.6","19.4","0.1","0.0","10.8"
"","low","6.1","24.0","0.0","1.0","7.0","0.0","0.1","6.1"
"J.D. McKissic","WAS","4.4","18.3","0.1","3.6","27.9","0.1","0.1","9.0"
"","high","6.0","27.0","0.2","5.0","35.0","0.2","0.0","10.3"
"","low","2.6","9.0","0.0","2.7","18.8","0.0","0.3","7.6"
"Nyheim Hines","IND","4.4","16.3","0.1","3.5","27.5","0.1","0.1","8.8"
"","high","5.8","21.7","0.1","4.0","31.6","0.2","0.0","10.0"
"","low","3.0","12.7","0.0","2.6","25.0","0.0","0.1","7.6"
"Phillip Lindsay","DEN","10.5","47.2","0.2","1.6","10.0","0.0","0.0","8.5"
"","high","11.8","57.0","0.3","2.6","14.7","0.1","0.0","10.5"
"","low","9.6","36.1","0.0","0.8","5.5","0.0","0.1","7.0"
"Mike Davis","CAR","7.5","26.3","0.1","2.9","18.1","0.1","0.1","8.3"
"","high","9.9","34.6","0.2","6.8","42.0","0.2","0.0","12.8"
"","low","4.3","8.0","0.0","1.3","9.5","0.0","0.1","5.3"
"Joshua Kelley","LAC","10.2","38.1","0.2","1.7","14.1","0.1","0.1","8.3"
"","high","12.4","49.6","0.4","2.7","30.0","0.2","0.1","10.5"
"","low","8.9","27.3","0.0","0.3","2.6","0.0","0.2","5.7"
"Tyler Ervin","GB","6.6","28.1","0.1","2.8","18.6","0.1","0.0","8.3"
"","high","10.5","44.3","0.3","4.0","25.4","0.2","0.0","11.2"
"","low","0.7","5.0","0.0","1.9","12.3","0.0","0.1","4.7"
"Lamical Perine","NYJ","9.7","38.3","0.2","1.7","12.3","0.0","0.1","7.9"
"","high","12.1","47.0","0.3","2.8","17.4","0.1","0.0","9.2"
"","low","5.9","18.0","0.0","0.9","5.3","0.0","0.1","5.8"
"Frank Gore","NYJ","10.9","44.4","0.2","1.2","7.9","0.0","0.1","7.5"
"","high","12.2","65.8","0.3","2.6","17.0","0.1","0.0","10.7"
"","low","7.0","27.0","0.0","0.7","4.0","0.0","0.1","4.3"
"Jordan Howard","MIA","10.7","41.1","0.3","1.0","5.2","0.0","0.0","7.4"
"","high","14.6","55.0","0.5","2.1","8.9","0.1","0.0","10.1"
"","low","1.8","7.0","0.0","0.2","1.0","0.0","0.1","2.3"
"Gus Edwards","BAL","11.3","47.8","0.3","0.5","3.1","0.0","0.0","7.4"
"","high","15.0","66.2","1.0","1.2","5.9","0.0","0.0","12.5"
"","low","5.8","26.6","0.1","0.0","0.0","0.0","0.1","4.4"
"Latavius Murray","NO","8.8","32.5","0.2","1.7","11.5","0.0","0.0","7.4"
"","high","12.1","43.9","0.4","2.3","17.0","0.1","0.0","8.4"
"","low","6.0","28.0","0.0","1.1","7.7","0.0","0.1","5.7"
"Adrian Peterson","DET","11.1","40.8","0.2","1.1","7.6","0.0","0.1","7.1"
"","high","15.9","54.4","0.3","2.0","15.0","0.1","0.0","8.3"
"","low","7.7","28.4","0.0","0.3","3.0","0.0","0.2","4.9"
"Brian Hill","ATL","6.4","29.2","0.1","1.8","13.2","0.0","0.1","6.9"
"","high","7.6","41.3","0.2","2.4","19.1","0.1","0.0","7.8"
"","low","4.8","20.0","0.0","1.1","7.0","0.0","0.1","5.4"
"Duke Johnson Jr.","HOU","3.6","16.1","0.1","2.3","20.2","0.1","0.0","6.8"
"","high","5.8","26.2","0.1","3.1","25.2","0.2","0.0","7.8"
"","low","2.0","9.0","0.0","1.7","15.6","0.0","0.1","5.0"
"Rex Burkhead","NE","6.1","22.6","0.1","1.8","16.6","0.1","0.1","6.7"
"","high","8.4","32.0","0.3","2.6","21.4","0.1","0.0","8.3"
"","low","4.0","13.0","0.0","1.0","12.0","0.0","0.1","4.9"
