"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Marvin Jones Jr.","DET","4.4","58.5","0.4","0.0","0.0","0.0","0.0","8.5"
"","high","4.7","65.4","0.5","0.0","0.1","0.0","0.0","9.6"
"","low","3.6","51.6","0.3","0.0","0.0","0.0","0.0","7.5"
"Jarvis Landry","CLE","5.3","64.4","0.3","0.2","1.0","0.0","0.1","8.4"
"","high","5.9","70.3","0.5","0.3","1.8","0.0","0.0","10.1"
"","low","4.7","56.7","0.2","0.1","0.5","0.0","0.1","7.0"
"Brandon Aiyuk","SF","4.4","59.0","0.3","0.6","2.7","0.0","0.0","8.4"
"","high","4.8","64.1","0.4","1.2","6.0","0.1","0.0","9.2"
"","low","4.0","51.4","0.3","0.2","1.1","0.0","0.1","7.1"
"D.J. Chark Jr.","JAC","4.7","61.2","0.4","0.0","0.3","0.0","0.0","8.3"
"","high","5.4","65.1","0.4","0.1","0.7","0.0","0.0","8.6"
"","low","4.3","56.2","0.3","0.0","0.0","0.0","0.0","7.8"
"Chase Claypool","PIT","4.2","56.5","0.3","0.7","3.5","0.1","0.1","8.3"
"","high","4.9","64.9","0.4","1.4","7.6","0.1","0.0","9.6"
"","low","3.8","49.9","0.3","0.2","1.2","0.0","0.1","7.1"
"Tee Higgins","CIN","4.5","63.3","0.3","0.3","1.7","0.0","0.1","8.2"
"","high","5.2","71.2","0.4","0.5","3.0","0.0","0.0","9.1"
"","low","4.1","55.7","0.0","0.2","1.1","0.0","0.1","7.9"
"CeeDee Lamb","DAL","4.7","58.5","0.3","0.6","3.7","0.0","0.1","8.0"
"","high","5.7","70.1","0.4","0.9","5.0","0.1","0.0","9.8"
"","low","3.9","46.6","0.1","0.3","1.5","0.0","0.1","7.2"
"Antonio Brown","TB","4.8","56.6","0.3","0.3","1.4","0.0","0.0","7.8"
"","high","5.3","70.1","0.5","0.5","2.7","0.0","0.0","8.0"
"","low","4.3","49.0","0.2","0.1","-0.1","0.0","0.1","7.3"
"Cole Beasley","BUF","5.1","60.9","0.3","0.0","0.0","0.0","0.0","7.8"
