"Player","Team","REC","YDS","TDS","FL","FPTS"
"","high","2.9","31.0","0.2","0.0","5.3"
"","low","1.3","11.7","0.1","0.0","3.8"
"David Njoku","CLE","1.8","19.6","0.1","0.0","4.5"
"","high","1.9","20.2","0.2","0.0","5.0"
"","low","1.7","18.7","0.0","0.0","4.6"
"Ian Thomas","CAR","2.0","18.0","0.1","0.0","4.4"
"","high","3.6","31.3","0.2","0.0","4.8"
"","low","1.1","10.3","0.0","0.0","3.4"
"James O'Shaughnessy","JAC","1.9","18.6","0.1","0.0","4.3"
"","high","2.5","24.1","0.1","0.0","4.7"
"","low","1.5","14.4","0.0","0.0","4.0"
"Irv Smith Jr.","MIN","1.8","18.2","0.1","0.0","4.2"
"","high","2.5","26.9","0.2","0.0","5.5"
"","low","1.2","12.2","0.0","0.0","3.6"
"Jack Doyle","IND","1.7","17.2","0.1","0.0","4.1"
"","high","3.1","29.4","0.3","0.0","5.5"
"","low","0.7","7.3","0.1","0.1","2.7"
"Harrison Bryant","CLE","1.5","16.2","0.1","0.1","3.7"
"","high","2.1","23.1","0.2","0.0","4.6"
"","low","1.0","10.4","0.1","0.2","3.1"
"Jesse James","DET","1.5","15.7","0.1","0.0","3.6"
"","high","2.1","21.5","0.2","0.0","4.6"
"","low","0.9","9.7","0.0","0.0","2.8"
"Durham Smythe","MIA","1.6","14.6","0.1","0.0","3.6"
"","high","2.6","22.8","0.2","0.0","4.1"
"","low","1.1","10.8","0.0","0.0","3.2"
"Chris Herndon IV","NYJ","1.5","16.1","0.1","0.1","3.5"
"","high","2.3","25.8","0.2","0.0","4.4"
"","low","1.0","10.8","0.0","0.2","3.0"
"Ryan Izzo","NE","1.4","17.9","0.1","0.1","3.5"
"","high","1.7","27.2","0.1","0.0","3.7"
"","low","1.1","12.7","0.0","0.1","2.9"
"MyCole Pruitt","TEN","1.1","12.6","0.2","0.0","3.4"
"","high","1.6","17.4","0.4","0.0","4.9"
"","low","0.6","6.7","0.1","0.0","2.2"
"Maxx Williams","ARI","1.6","15.2","0.1","0.0","3.4"
"","high","2.4","21.8","0.1","0.0","3.0"
"","low","0.8","8.7","0.0","0.1","3.0"
"Ryan Griffin","NYJ","1.5","14.5","0.1","0.0","3.4"
"","high","1.9","18.7","0.1","0.0","4.0"
"","low","1.0","10.2","0.0","0.0","2.9"
"Nick Vannett","DEN","1.5","14.3","0.1","0.0","3.4"
"","high","2.1","19.1","0.1","0.0","3.8"
"","low","1.0","9.3","0.0","0.0","2.8"
"Marcedes Lewis","GB","1.2","13.0","0.1","0.0","3.2"
"","high","1.6","17.4","0.3","0.0","4.4"
"","low","0.6","7.5","0.0","0.0","2.7"
"Foster Moreau","LV","1.3","13.1","0.1","0.0","3.2"
"","high","1.6","15.5","0.2","0.0","3.5"
"","low","0.9","10.7","0.0","0.0","3.5"
"Ross Dwelley","SF","1.4","14.2","0.1","0.0","3.2"
"","high","2.5","23.5","0.1","0.0","3.5"
"","low","0.8","7.9","0.0","0.0","2.6"
"Luke Willson","BAL","1.6","13.9","0.0","0.0","3.0"
"","high","2.7","23.2","0.0","0.0","2.0"
"","low","0.5","4.6","0.0","0.0","2.0"
"Kaden Smith","NYG","1.4","11.5","0.1","0.0","2.9"
"","high","1.9","14.7","0.1","0.0","3.0"
"","low","1.1","10.0","0.0","0.0","2.9"
"Nick Keizer","KC","1.4","15.5","0.0","0.0","2.9"
"","high","1.4","15.5","0.0","0.0","0.0"
"","low","1.4","15.5","0.0","0.0","0.0"
"Adam Shaheen","MIA","1.1","10.9","0.1","0.0","2.9"
"","high","1.7","16.7","0.2","0.0","3.1"
"","low","0.7","7.5","0.1","0.0","2.3"
"Jace Sternberger","GB","1.2","12.6","0.1","0.0","2.8"
"","high","1.7","18.4","0.1","0.0","3.0"
"","low","0.7","7.7","0.0","0.0","2.5"
"Pharaoh Brown","HOU","1.2","13.2","0.1","0.0","2.8"
"","high","1.2","13.4","0.1","0.0","3.1"
"","low","1.2","13.1","0.0","0.0","3.1"
"Adam Trautman","NO","1.1","12.0","0.1","0.0","2.8"
"","high","1.6","17.8","0.1","0.0","3.1"
"","low","0.6","5.9","0.0","0.0","2.3"
"Richard Rodgers","PHI","1.0","13.2","0.1","0.0","2.7"
"","high","1.1","15.0","0.1","0.0","3.1"
"","low","0.8","12.0","0.0","0.0","2.9"
"Donald Parham Jr.","LAC","1.0","11.9","0.1","0.0","2.7"
"","high","1.7","18.5","0.1","0.0","3.0"
"","low","0.6","6.6","0.1","0.0","2.1"
"Jason Witten","LV","1.3","11.2","0.1","0.0","2.7"
"","high","1.9","16.4","0.1","0.0","2.5"
"","low","0.7","5.9","0.0","0.0","2.5"
"Geoff Swaim","TEN","1.2","10.6","0.1","0.0","2.6"
"","high","1.9","16.4","0.1","0.0","2.7"
"","low","0.6","6.0","0.0","0.0","2.4"
"Josh Hill","NO","1.3","11.0","0.1","0.0","2.6"
"","high","1.3","12.6","0.1","0.0","2.8"
"","low","1.2","9.4","0.0","0.0","2.8"
"Jaeden Graham","ATL","1.1","11.6","0.1","0.0","2.5"
"","high","1.2","12.8","0.1","0.0","2.8"
"","low","1.0","10.5","0.0","0.0","2.8"
"Ricky Seals-Jones","KC","0.8","11.1","0.1","0.0","2.5"
"","high","0.8","11.1","0.1","0.0","2.5"
"","low","0.8","11.1","0.1","0.0","2.5"
"Troy Fumagalli","DEN","1.1","11.7","0.0","0.0","2.5"
"","high","1.3","14.0","0.1","0.0","2.5"
"","low","0.9","9.5","0.0","0.0","2.5"
"Gabe Nabers","LAC","1.2","12.7","0.0","0.0","2.4"
"","high","1.2","12.7","0.0","0.0","0.0"
"","low","1.2","12.7","0.0","0.0","0.0"
"Charlie Woerner","SF","1.1","12.6","0.0","0.0","2.4"
"","high","1.6","17.7","0.0","0.0","1.8"
"","low","0.6","7.4","0.0","0.0","1.8"
"Chris Manhertz","CAR","1.0","11.4","0.0","0.0","2.3"
"","high","1.3","15.7","0.1","0.0","2.0"
"","low","0.6","7.1","0.0","0.0","2.0"
"Stephen Anderson","LAC","1.0","10.9","0.0","0.0","2.3"
"","high","1.1","12.6","0.1","0.0","2.4"
"","low","0.8","9.1","0.0","0.0","2.4"
"Cethan Carter","CIN","1.1","12.1","0.0","0.0","2.3"
"","high","1.1","12.1","0.0","0.0","0.0"
"","low","1.1","12.1","0.0","0.0","0.0"
"Kahale Warring","HOU","0.9","9.9","0.1","0.0","2.2"
"","high","1.3","13.9","0.1","0.0","2.4"
"","low","0.7","8.2","0.0","0.0","2.1"
"Stephen Carlson","CLE","0.9","9.7","0.1","0.0","2.2"
"","high","1.3","13.8","0.1","0.0","2.9"
"","low","0.5","5.7","0.0","0.0","2.9"
"Blake Bell","DAL","1.1","10.8","0.0","0.0","2.1"
"","high","1.2","12.6","0.0","0.0","2.0"
"","low","0.9","9.0","0.0","0.0","2.0"
"Colin Thompson","CAR","0.9","9.2","0.1","0.0","2.1"
"","high","1.1","11.9","0.1","0.0","2.1"
"","low","0.7","6.6","0.0","0.0","2.1"
"Brycen Hopkins","LAR","0.7","7.9","0.1","0.0","2.1"
"","high","0.7","7.9","0.1","0.0","2.1"
"","low","0.7","7.9","0.1","0.0","2.1"
"Tyler Kroft","BUF","0.8","7.5","0.1","0.0","2.1"
"","high","1.2","12.0","0.2","0.0","3.2"
"","low","0.4","4.0","0.0","0.0","1.9"
"Farrod Green","IND","0.7","7.7","0.1","0.0","2.1"
"","high","0.7","7.7","0.1","0.0","2.1"
"","low","0.7","7.7","0.1","0.0","2.1"
"Antony Auclair","TB","0.8","6.6","0.1","0.0","2.1"
"","high","0.8","6.6","0.1","0.0","2.1"
"","low","0.8","6.6","0.1","0.0","2.1"
"Lee Smith","BUF","0.8","6.4","0.1","0.0","2.0"
"","high","1.0","7.3","0.2","0.0","2.6"
"","low","0.6","5.4","0.0","0.0","2.6"
"Luke Stocker","ATL","1.1","9.1","0.0","0.0","2.0"
"","high","1.5","12.7","0.0","0.0","1.7"
"","low","0.7","5.4","0.0","0.0","1.7"
"Johnny Mundt","LAR","1.0","10.6","0.0","0.0","2.0"
"","high","1.0","10.6","0.0","0.0","0.0"
"","low","1.0","10.6","0.0","0.0","0.0"
"Temarrick Hemingway","WAS","1.0","10.4","0.0","0.0","2.0"
"","high","1.0","10.4","0.0","0.0","0.0"
"","low","1.0","10.4","0.0","0.0","0.0"
"Evan Baylis","ARI","0.7","6.6","0.1","0.0","2.0"
"","high","0.7","6.6","0.1","0.0","2.0"
"","low","0.7","6.6","0.1","0.0","2.0"
"Hunter Bryant","DET","0.8","8.6","0.1","0.0","1.9"
"","high","0.9","9.5","0.1","0.0","2.2"
"","low","0.7","7.7","0.0","0.0","2.2"
"Jeremy Sprinkle","WAS","0.7","5.9","0.1","0.0","1.9"
"","high","0.7","5.9","0.1","0.0","1.9"
