"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Chase Claypool","PIT","3.8","53.0","0.5","0.6","4.4","0.0","0.1","12.6"
"","high","5.0","66.8","1.0","1.4","9.0","0.1","0.0","16.8"
"","low","2.3","27.0","0.2","0.2","1.0","0.0","0.2","7.6"
"Sterling Shepard","NYG","5.1","58.5","0.2","0.2","1.7","0.0","0.0","12.5"
"","high","5.9","65.0","0.3","0.3","2.9","0.0","0.0","13.4"
"","low","4.8","53.4","0.0","0.1","0.7","0.0","0.1","11.6"
"Jerry Jeudy","DEN","4.5","61.0","0.3","0.1","0.5","0.0","0.0","12.1"
"","high","5.5","79.0","0.5","0.3","1.9","0.0","0.0","15.5"
"","low","3.6","53.2","0.0","0.0","0.0","0.0","0.1","10.3"
"Diontae Johnson","PIT","4.7","53.1","0.3","0.3","1.9","0.0","0.1","12.0"
"","high","6.4","69.3","0.6","0.4","3.2","0.0","0.0","13.9"
"","low","3.6","38.1","0.0","0.2","1.0","0.0","0.2","10.1"
"Marquise Brown","BAL","4.1","56.8","0.3","0.3","1.5","0.0","0.0","11.8"
"","high","4.7","64.3","0.4","1.0","7.5","0.0","0.0","12.4"
"","low","3.5","51.1","0.0","0.0","0.0","0.0","0.1","9.6"
"Jamison Crowder","NYJ","4.9","56.5","0.2","0.1","0.5","0.0","0.1","11.8"
"","high","5.9","69.8","0.4","0.2","1.0","0.0","0.0","13.7"
"","low","2.0","25.0","0.0","0.0","0.0","0.0","0.1","7.4"
"Jakobi Meyers","NE","4.2","55.0","0.3","0.2","0.6","0.0","0.0","11.7"
"","high","5.2","68.3","1.0","0.2","1.1","0.0","0.0","16.6"
"","low","3.2","42.4","0.0","0.1","0.3","0.0","0.0","10.1"
"D.J. Chark Jr.","JAC","4.3","55.3","0.3","0.0","0.3","0.0","0.0","11.7"
"","high","5.0","64.3","0.4","0.1","0.8","0.0","0.0","11.9"
"","low","3.5","47.0","0.0","0.0","0.0","0.0","0.0","10.6"
"John Brown","BUF","3.8","53.2","0.4","0.1","0.2","0.0","0.0","11.6"
"","high","6.0","71.0","1.0","0.1","0.6","0.0","0.0","16.9"
"","low","2.9","41.0","0.2","0.0","0.0","0.0","0.0","9.4"
"Corey Davis","TEN","4.3","55.4","0.3","0.1","0.5","0.0","0.0","11.6"
"","high","5.0","64.4","0.4","0.2","1.4","0.0","0.0","13.2"
"","low","3.4","37.0","0.0","0.0","0.0","0.0","0.0","9.2"
"Tim Patrick","DEN","3.9","54.3","0.3","0.1","0.3","0.0","0.0","11.4"
"","high","5.0","62.5","1.0","0.2","1.0","0.0","0.0","15.3"
"","low","3.2","45.8","0.0","0.0","0.0","0.0","0.1","10.0"
"Cole Beasley","BUF","4.5","52.7","0.3","0.0","0.0","0.0","0.0","11.4"
"","high","5.5","61.3","0.4","0.0","0.1","0.0","0.0","12.9"
"","low","3.8","43.0","0.0","0.0","0.0","0.0","0.0","8.8"
"Russell Gage","ATL","4.9","51.8","0.2","0.2","0.7","0.0","0.0","11.1"
"","high","6.3","62.3","0.3","0.3","1.5","0.0","0.0","12.2"
"","low","4.0","44.3","0.0","0.0","0.0","0.0","0.1","10.5"
"Emmanuel Sanders","NO","4.3","54.0","0.2","0.0","0.3","0.0","0.0","11.0"
"","high","5.0","64.0","0.4","0.1","0.7","0.0","0.0","12.3"
