"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"D.J. Chark Jr.","JAC","4.7","61.2","0.4","0.0","0.3","0.0","0.0","10.7"
"","high","5.4","65.1","0.4","0.1","0.7","0.0","0.0","11.0"
"","low","4.3","56.2","0.3","0.0","0.0","0.0","0.0","10.2"
"Marvin Jones Jr.","DET","4.4","58.5","0.4","0.0","0.0","0.0","0.0","10.7"
"","high","4.7","65.4","0.5","0.0","0.1","0.0","0.0","11.8"
"","low","3.6","51.6","0.3","0.0","0.0","0.0","0.0","9.6"
"Brandon Aiyuk","SF","4.4","59.0","0.3","0.6","2.7","0.0","0.0","10.6"
"","high","4.8","64.1","0.4","1.2","6.0","0.1","0.0","11.4"
"","low","4.0","51.4","0.3","0.2","1.1","0.0","0.1","9.3"
"JuJu Smith-Schuster","PIT","5.5","56.9","0.4","0.0","0.1","0.0","0.0","10.5"
"","high","6.1","65.2","0.5","0.0","0.2","0.0","0.0","11.8"
"","low","5.2","46.3","0.3","0.0","0.0","0.0","0.1","9.2"
"Tee Higgins","CIN","4.5","63.3","0.3","0.3","1.7","0.0","0.1","10.4"
"","high","5.2","71.2","0.4","0.5","3.0","0.0","0.0","11.3"
"","low","4.1","55.7","0.0","0.2","1.1","0.0","0.1","10.1"
"Chase Claypool","PIT","4.2","56.5","0.3","0.7","3.5","0.1","0.1","10.4"
"","high","4.9","64.9","0.4","1.4","7.6","0.1","0.0","11.7"
"","low","3.8","49.9","0.3","0.2","1.2","0.0","0.1","9.2"
"CeeDee Lamb","DAL","4.7","58.5","0.3","0.6","3.7","0.0","0.1","10.4"
"","high","5.7","70.1","0.4","0.9","5.0","0.1","0.0","12.1"
"","low","3.9","46.6","0.1","0.3","1.5","0.0","0.1","9.5"
"Cole Beasley","BUF","5.1","60.9","0.3","0.0","0.0","0.0","0.0","10.4"
"","high","5.4","68.9","0.4","0.0","0.1","0.0","0.0","11.0"
"","low","4.5","48.5","0.2","0.0","0.0","0.0","0.1","9.0"
"Antonio Brown","TB","4.8","56.6","0.3","0.3","1.4","0.0","0.0","10.2"
"","high","5.3","70.1","0.5","0.5","2.7","0.0","0.0","10.4"
"","low","4.3","49.0","0.2","0.1","-0.1","0.0","0.1","9.7"
"Tyler Boyd","CIN","4.8","58.2","0.3","0.2","1.6","0.0","0.0","10.0"
"","high","5.7","66.9","0.4","0.3","2.8","0.0","0.0","10.6"
"","low","4.2","53.2","0.1","0.2","0.7","0.0","0.1","9.8"
"Keke Coutee","HOU","5.1","59.3","0.3","0.2","0.4","0.0","0.1","10.0"
"","high","6.3","69.6","0.3","0.4","1.1","0.1","0.0","10.5"
"","low","4.6","52.4","0.1","0.0","0.0","0.0","0.2","9.4"
"Sterling Shepard","NYG","5.1","53.8","0.2","0.3","2.0","0.0","0.0","9.6"
"","high","5.5","59.3","0.3","0.3","3.6","0.0","0.0","10.4"
"","low","4.7","47.4","0.1","0.2","1.1","0.0","0.1","9.1"
"T.Y. Hilton","IND","4.1","58.3","0.3","0.0","0.0","0.0","0.0","9.5"
"","high","4.6","69.2","0.3","0.0","0.2","0.0","0.0","9.9"
"","low","3.7","52.6","0.2","0.0","0.0","0.0","0.0","8.8"
"Mike Williams","LAC","3.4","57.6","0.3","0.1","0.4","0.0","0.0","9.4"
"","high","3.8","62.7","0.4","0.2","0.7","0.0","0.0","10.3"
"","low","3.1","48.1","0.2","0.1","0.2","0.0","0.0","8.2"
"Tim Patrick","DEN","3.9","54.3","0.3","0.0","0.3","0.0","0.0","9.3"
"","high","4.5","64.4","0.6","0.1","0.8","0.0","0.0","11.1"
"","low","3.5","47.3","0.1","0.0","0.0","0.0","0.1","8.0"
"Michael Pittman Jr.","IND","4.2","53.1","0.3","0.2","1.3","0.0","0.0","9.1"
"","high","5.5","64.4","0.3","0.3","2.0","0.0","0.0","9.3"
"","low","3.7","48.1","0.2","0.0","0.0","0.0","0.1","8.6"
"Jamison Crowder","NYJ","4.5","52.6","0.3","0.1","0.4","0.0","0.0","9.1"
"","high","5.3","63.6","0.4","0.2","1.0","0.0","0.0","9.9"
"","low","3.2","43.9","0.1","0.0","0.0","0.0","0.1","8.1"
"Allen Lazard","GB","3.5","51.2","0.3","0.2","1.5","0.0","0.0","9.1"
"","high","4.0","60.2","0.4","0.2","2.1","0.0","0.0","10.4"
"","low","2.9","42.3","0.2","0.1","0.4","0.0","0.0","8.3"
"Denzel Mims","NYJ","4.2","56.9","0.2","0.1","0.6","0.0","0.0","9.1"
"","high","5.3","62.3","0.3","0.3","1.8","0.0","0.0","9.8"
"","low","3.5","50.3","0.1","0.0","0.0","0.0","0.1","8.6"
"Jakobi Meyers","NE","4.8","56.9","0.2","0.1","0.2","0.0","0.0","9.0"
"","high","5.3","67.3","0.3","0.1","0.4","0.0","0.0","9.7"
"","low","4.0","49.1","0.0","0.0","0.0","0.0","0.0","8.5"
"Nelson Agholor","LV","3.9","50.7","0.3","0.1","0.6","0.0","0.0","9.0"
"","high","4.9","57.8","0.4","0.2","1.6","0.0","0.0","9.4"
"","low","3.2","43.4","0.1","0.0","0.0","0.0","0.0","8.7"
"Curtis Samuel","CAR","4.1","42.4","0.2","1.5","8.6","0.1","0.0","8.9"
"","high","4.3","43.8","0.4","2.0","11.1","0.1","0.0","10.3"
"","low","3.8","41.2","0.0","0.9","6.1","0.1","0.1","9.4"
"Jerry Jeudy","DEN","3.9","54.9","0.2","0.0","0.0","0.0","0.0","8.9"
"","high","4.4","60.1","0.3","0.0","0.1","0.0","0.0","9.3"
"","low","3.6","48.2","0.2","0.0","0.0","0.0","0.0","8.3"
"Marquise Brown","BAL","3.6","50.2","0.3","0.3","1.9","0.0","0.0","8.8"
"","high","4.4","60.5","0.3","1.0","8.0","0.0","0.0","9.2"
"","low","3.1","43.8","0.2","0.0","0.0","0.0","0.0","8.0"
"Breshad Perriman","NYJ","3.5","53.2","0.3","0.1","0.3","0.0","0.0","8.7"
"","high","3.7","61.7","0.4","0.2","0.5","0.0","0.0","10.5"
"","low","3.2","43.8","0.2","0.0","0.0","0.0","0.0","7.3"
"Michael Gallup","DAL","3.6","54.2","0.2","0.0","0.0","0.0","0.0","8.5"
"","high","4.0","63.6","0.3","0.0","0.1","0.0","0.0","9.1"
"","low","3.2","46.4","0.1","0.0","0.0","0.0","0.0","7.9"
"Christian Kirk","ARI","3.8","48.7","0.3","0.2","1.6","0.0","0.0","8.4"
"","high","5.1","62.9","0.5","0.4","3.4","0.0","0.0","10.4"
"","low","3.0","38.7","0.0","0.0","0.0","0.0","0.1","7.1"
"Sammy Watkins","KC","3.8","49.3","0.2","0.1","0.9","0.0","0.0","8.3"
"","high","4.3","60.4","0.3","0.2","1.4","0.0","0.0","9.1"
"","low","3.1","38.5","0.1","0.0","0.0","0.0","0.1","7.7"
"D.J. Moore","CAR","3.6","54.6","0.1","0.2","2.4","0.0","0.0","8.3"
"","high","4.8","72.1","0.3","0.2","2.4","0.0","0.0","10.7"
"","low","2.5","37.0","0.0","0.2","2.4","0.0","0.1","10.7"
"Rashard Higgins","CLE","3.3","47.9","0.2","0.0","0.1","0.0","0.0","7.9"
"","high","4.2","58.6","0.3","0.0","0.4","0.0","0.0","8.7"
"","low","3.0","42.1","0.1","0.0","0.0","0.0","0.1","7.3"
"Darius Slayton","NYG","3.2","47.6","0.2","0.1","0.4","0.0","0.0","7.8"
"","high","4.1","62.4","0.4","0.2","1.2","0.0","0.0","8.6"
"","low","2.8","40.1","0.1","0.1","-0.1","0.0","0.1","6.9"
"Darnell Mooney","CHI","3.7","44.8","0.2","0.1","0.0","0.0","0.0","7.5"
"","high","5.2","55.2","0.3","0.1","0.1","0.0","0.0","8.5"
"","low","3.1","34.8","0.1","0.0","-0.2","0.0","0.0","5.9"
"Hunter Renfrow","LV","3.6","45.2","0.2","0.0","0.0","0.0","0.0","7.5"
"","high","4.1","52.4","0.3","0.0","0.1","0.0","0.0","8.2"
"","low","2.9","34.9","0.0","0.0","0.0","0.0","0.0","6.6"
"Laviska Shenault Jr.","JAC","3.4","37.5","0.2","1.4","8.0","0.1","0.0","7.4"
"","high","4.2","45.4","0.3","1.7","10.1","0.1","0.0","8.4"
"","low","2.7","29.6","0.0","1.1","5.5","0.0","0.1","6.4"
"Gabriel Davis","BUF","2.8","43.6","0.3","0.1","0.0","0.0","0.0","7.4"
"","high","3.6","51.0","0.3","0.1","0.1","0.0","0.0","8.0"
"","low","2.0","35.8","0.2","0.0","0.0","0.0","0.0","6.8"
"Anthony Miller","CHI","3.6","42.4","0.2","0.2","1.0","0.0","0.1","7.3"
"","high","4.9","57.7","0.3","0.3","1.7","0.0","0.0","7.6"
"","low","3.1","36.0","0.1","0.2","0.6","0.0","0.1","6.7"
"Josh Reynolds","LAR","3.3","45.9","0.2","0.1","0.4","0.0","0.0","7.2"
"","high","4.0","54.6","0.2","0.2","0.7","0.0","0.0","7.7"
"","low","2.9","40.5","0.0","0.0","0.0","0.0","0.1","7.0"
