"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","13.9","62.8","0.6","5.1","43.3","0.3","0.1","20.6"
"","high","17.4","77.1","0.7","6.1","52.2","0.5","0.0","24.0"
"","low","10.0","45.4","0.5","3.1","27.6","0.2","0.2","16.1"
"Derrick Henry","TEN","22.3","107.3","1.0","1.5","12.2","0.1","0.1","19.7"
"","high","24.8","120.3","1.3","1.9","15.5","0.1","0.1","23.5"
"","low","18.9","90.5","0.7","1.2","9.7","0.0","0.2","16.0"
"Dalvin Cook","MIN","19.8","81.4","0.7","3.5","29.8","0.1","0.2","19.3"
"","high","21.3","94.5","1.0","3.7","30.9","0.2","0.1","21.1"
"","low","18.2","69.1","0.6","3.2","28.1","0.1","0.2","18.4"
"Aaron Jones","GB","14.4","68.5","0.8","3.3","27.0","0.2","0.1","18.5"
"","high","15.6","79.1","1.0","4.0","28.4","0.3","0.0","20.0"
"","low","12.9","54.4","0.5","3.0","25.5","0.1","0.2","14.9"
"Austin Ekeler","LAC","10.9","52.0","0.3","5.2","50.0","0.3","0.1","18.5"
"","high","12.9","58.3","0.4","5.9","54.9","0.4","0.0","19.2"
"","low","7.4","43.6","0.2","4.3","43.6","0.2","0.2","17.7"
"James Robinson","JAC","17.9","78.4","0.6","3.5","26.5","0.1","0.1","18.4"
"","high","18.9","86.8","0.7","4.0","29.5","0.2","0.0","19.1"
"","low","17.0","73.7","0.6","3.0","23.2","0.1","0.2","17.7"
"Alvin Kamara","NO","13.1","58.6","0.5","4.2","36.2","0.2","0.1","17.7"
"","high","14.4","65.5","0.7","5.0","43.7","0.2","0.0","20.0"
"","low","9.9","48.1","0.4","3.1","27.2","0.1","0.2","17.2"
"Chris Carson","SEA","15.0","63.5","0.5","2.9","22.3","0.2","0.1","15.5"
"","high","16.6","78.0","0.6","3.5","27.4","0.3","0.1","16.4"
"","low","13.3","54.4","0.4","2.3","17.9","0.2","0.2","13.9"
"Ezekiel Elliott","DAL","18.7","77.7","0.4","2.6","19.9","0.1","0.2","15.1"
"","high","19.6","84.4","0.5","2.8","23.4","0.1","0.1","16.3"
"","low","17.8","65.8","0.3","2.2","15.8","0.1","0.3","14.6"
"David Montgomery","CHI","15.8","66.8","0.5","2.7","22.7","0.1","0.1","15.0"
"","high","17.9","80.1","0.6","3.4","27.5","0.2","0.1","16.7"
"","low","14.0","56.5","0.4","2.4","18.9","0.1","0.2","13.3"
"Nick Chubb","CLE","15.9","83.0","0.5","1.3","10.1","0.0","0.1","13.9"
"","high","17.5","92.6","0.6","2.2","13.6","0.1","0.1","14.5"
"","low","14.2","77.1","0.5","1.0","8.1","0.0","0.2","13.6"
"Myles Gaskin","MIA","13.5","59.0","0.4","3.0","25.4","0.1","0.2","13.8"
"","high","15.5","68.6","0.5","3.1","30.6","0.1","0.1","15.6"
"","low","12.2","51.4","0.2","2.9","22.0","0.0","0.2","12.3"
"Ronald Jones II","TB","14.2","63.4","0.5","1.9","15.3","0.1","0.1","13.1"
"","high","15.1","67.2","0.7","2.2","19.7","0.1","0.0","13.7"
"","low","12.7","59.3","0.4","1.5","10.3","0.0","0.2","12.9"
"D'Andre Swift","DET","9.4","43.8","0.3","3.1","27.5","0.1","0.1","13.0"
"","high","12.6","54.4","0.4","3.8","40.9","0.2","0.0","15.5"
"","low","6.5","29.7","0.2","1.8","15.1","0.1","0.1","9.7"
"Jonathan Taylor","IND","13.0","53.1","0.5","2.3","20.5","0.1","0.1","12.8"
"","high","15.3","64.7","0.6","3.2","28.8","0.1","0.1","13.5"
"","low","11.8","45.4","0.4","1.9","16.4","0.1","0.1","11.3"
"Raheem Mostert","SF","13.1","63.0","0.5","1.8","14.7","0.1","0.1","12.7"
"","high","15.6","75.5","0.6","2.4","17.0","0.1","0.1","14.8"
"","low","10.7","49.0","0.3","1.3","10.9","0.1","0.2","10.1"
"Wayne Gallman","NYG","12.6","57.1","0.5","2.1","13.3","0.1","0.1","12.4"
"","high","13.5","61.5","0.7","3.3","18.5","0.1","0.1","13.1"
"","low","11.6","54.0","0.4","1.7","9.5","0.0","0.2","11.5"
"Melvin Gordon III","DEN","12.9","57.4","0.4","2.2","15.5","0.1","0.2","12.3"
"","high","15.2","63.2","0.5","3.5","23.3","0.1","0.1","13.7"
"","low","11.4","55.1","0.3","1.8","11.3","0.1","0.2","11.0"
"Kenyan Drake","ARI","13.9","58.5","0.5","2.0","14.9","0.1","0.1","12.3"
"","high","16.1","72.7","0.6","3.0","22.1","0.1","0.1","14.4"
"","low","11.4","45.2","0.3","1.2","8.5","0.0","0.1","10.7"
"Nyheim Hines","IND","6.5","25.7","0.3","3.7","30.8","0.2","0.0","12.1"
"","high","7.4","29.6","0.3","3.9","33.6","0.3","0.0","12.8"
"","low","5.7","22.8","0.2","3.4","27.4","0.1","0.1","11.8"
"James Conner","PIT","12.2","52.9","0.3","2.7","16.4","0.0","0.1","11.8"
"","high","15.9","70.6","0.5","4.3","18.7","0.1","0.1","15.2"
"","low","10.1","42.2","0.1","1.8","11.0","0.0","0.1","9.8"
"Clyde Edwards-Helaire","KC","11.9","50.7","0.3","2.3","19.5","0.1","0.0","11.7"
"","high","14.8","61.6","0.4","3.0","23.4","0.1","0.0","12.4"
"","low","9.6","45.5","0.2","1.8","14.7","0.0","0.1","10.6"
"J.K. Dobbins","BAL","10.4","60.5","0.3","2.1","16.0","0.0","0.1","11.6"
"","high","12.5","90.3","0.4","2.8","24.5","0.1","0.0","12.5"
"","low","8.0","40.2","0.0","1.7","13.0","0.0","0.1","9.4"
"Miles Sanders","PHI","12.4","57.2","0.2","2.3","19.6","0.1","0.1","11.5"
"","high","14.3","62.1","0.3","2.8","26.2","0.1","0.1","11.8"
"","low","10.4","51.2","0.1","1.8","14.2","0.0","0.2","11.4"
"David Johnson","HOU","12.9","47.2","0.3","2.3","22.6","0.1","0.1","11.4"
"","high","14.0","54.1","0.4","3.4","30.6","0.2","0.0","12.3"
"","low","11.6","40.1","0.2","1.8","19.1","0.1","0.2","10.4"
"J.D. McKissic","WAS","5.2","22.8","0.1","4.4","33.3","0.1","0.1","11.2"
"","high","7.4","31.1","0.2","5.8","39.6","0.2","0.0","12.7"
"","low","3.7","16.3","0.1","3.8","25.1","0.1","0.2","10.4"
"Kareem Hunt","CLE","10.8","46.4","0.3","2.3","18.2","0.1","0.0","11.1"
"","high","12.0","53.0","0.3","2.9","22.1","0.2","0.0","11.8"
"","low","9.5","38.2","0.2","1.8","13.7","0.1","0.1","9.7"
"Todd Gurley II","ATL","13.1","51.1","0.4","1.8","11.9","0.1","0.1","11.0"
"","high","14.9","62.1","0.7","3.2","18.2","0.1","0.1","12.4"
"","low","10.6","44.3","0.0","1.3","9.1","0.0","0.1","10.6"
"Giovani Bernard","CIN","9.9","34.8","0.2","2.6","22.1","0.1","0.0","10.3"
"","high","12.8","54.5","0.4","3.4","34.3","0.1","0.0","13.2"
"","low","8.6","14.5","0.1","1.8","16.5","0.1","0.1","6.8"
"Chase Edmonds","ARI","6.5","29.6","0.1","3.3","25.3","0.1","0.0","10.2"
"","high","7.4","37.8","0.2","3.7","27.6","0.2","0.0","10.7"
"","low","5.9","24.5","0.1","3.0","22.9","0.0","0.1","9.9"
"Cam Akers","LAR","12.4","53.7","0.4","1.2","9.3","0.1","0.1","10.1"
"","high","13.9","62.0","0.5","2.8","17.1","0.1","0.0","11.1"
"","low","10.0","43.8","0.2","0.6","4.3","0.0","0.1","8.4"
"Devin Singletary","BUF","9.3","44.5","0.2","2.4","17.5","0.1","0.1","9.9"
"","high","11.1","58.6","0.3","3.1","21.3","0.1","0.1","11.7"
"","low","7.6","33.5","0.1","1.8","14.0","0.0","0.1","8.9"
"Antonio Gibson","WAS","7.8","36.4","0.3","2.2","14.2","0.0","0.1","9.2"
"","high","13.1","55.8","0.6","3.0","22.7","0.1","0.0","14.0"
"","low","4.8","20.8","0.0","1.4","7.4","0.0","0.1","7.4"
"Josh Jacobs","LV","11.7","41.6","0.3","1.7","10.9","0.0","0.1","9.0"
"","high","16.7","65.6","0.7","2.2","17.2","0.1","0.1","14.3"
"","low","8.5","29.4","0.0","1.1","7.5","0.0","0.1","7.0"
"Duke Johnson Jr.","HOU","4.9","20.6","0.1","3.1","27.1","0.1","0.1","8.9"
"","high","6.4","25.2","0.2","3.6","31.4","0.2","0.0","9.8"
"","low","2.5","10.1","0.0","2.2","18.1","0.0","0.1","8.3"
"Jamaal Williams","GB","8.9","32.9","0.2","2.3","16.3","0.1","0.0","8.8"
"","high","10.4","40.5","0.3","3.7","20.1","0.1","0.0","10.1"
"","low","7.7","22.7","0.1","1.6","11.8","0.0","0.1","7.1"
"Leonard Fournette","TB","9.1","31.3","0.2","2.4","16.8","0.1","0.0","8.8"
"","high","15.6","49.2","0.3","3.0","19.1","0.1","0.0","9.5"
"","low","6.5","25.0","0.1","1.8","12.4","0.0","0.1","8.1"
"Ty Johnson","NYJ","9.2","43.9","0.2","1.8","12.4","0.0","0.1","8.8"
"","high","11.9","69.2","0.3","2.4","20.4","0.1","0.0","9.6"
"","low","6.6","29.1","0.1","1.3","5.0","0.0","0.1","7.3"
