"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Frank Gore","NYJ","14.6","57.7","0.2","1.8","11.0","0.0","0.1","8.2"
"","high","15.6","66.9","0.4","3.0","14.3","0.1","0.0","10.9"
"","low","14.0","46.8","0.0","1.2","7.4","0.0","0.2","6.3"
"Myles Gaskin","MIA","10.1","43.3","0.2","2.7","19.9","0.1","0.1","7.9"
"","high","13.1","57.3","0.4","3.3","23.1","0.1","0.1","10.9"
"","low","6.6","27.3","0.1","1.7","12.2","0.0","0.1","5.5"
"Zack Moss","BUF","10.8","44.1","0.2","1.5","11.2","0.1","0.1","7.3"
"","high","14.0","60.0","0.4","2.8","15.3","0.1","0.0","7.8"
"","low","8.1","32.5","0.0","0.7","5.5","0.0","0.1","6.8"
"Devin Singletary","BUF","9.3","44.0","0.1","2.4","17.6","0.1","0.1","7.1"
"","high","11.3","52.7","0.2","2.9","22.6","0.1","0.1","8.5"
"","low","7.1","30.3","0.0","2.0","14.0","0.0","0.1","6.0"
"Benny Snell Jr.","PIT","10.2","46.8","0.3","0.7","4.0","0.0","0.1","6.8"
"","high","15.5","67.4","0.7","1.8","13.4","0.1","0.1","11.7"
"","low","4.8","19.9","0.0","0.0","0.0","0.0","0.2","3.0"
"Devontae Booker","LV","8.9","40.9","0.3","1.4","11.1","0.0","0.1","6.8"
"","high","11.5","52.8","0.4","2.6","23.3","0.1","0.0","9.9"
"","low","7.1","30.1","0.0","0.0","0.0","0.0","0.1","3.6"
"David Johnson","HOU","9.2","32.1","0.2","1.7","15.8","0.1","0.1","6.7"
"","high","13.4","51.1","0.4","2.4","25.2","0.2","0.1","10.5"
"","low","3.3","8.8","0.0","1.0","5.7","0.0","0.2","5.2"
"Darrell Henderson","LAR","9.5","41.2","0.2","1.3","10.6","0.0","0.0","6.7"
"","high","11.9","50.0","0.4","1.8","13.5","0.1","0.0","8.5"
"","low","8.0","33.6","0.0","0.7","6.8","0.0","0.1","4.5"
"James White","NE","5.1","19.7","0.1","4.1","32.5","0.1","0.0","6.6"
"","high","5.8","26.3","0.3","5.2","42.9","0.2","0.0","7.7"
"","low","4.2","11.1","0.0","3.3","27.6","0.0","0.1","5.6"
"Jamaal Williams","GB","9.5","36.8","0.2","2.1","15.0","0.1","0.0","6.6"
"","high","11.5","46.5","0.3","3.7","19.7","0.1","0.0","8.7"
"","low","8.2","30.5","0.0","1.0","12.0","0.0","0.1","4.7"
"Duke Johnson Jr.","HOU","6.2","26.7","0.1","2.8","25.5","0.1","0.1","6.5"
"","high","9.0","41.0","0.2","4.0","42.6","0.2","0.0","6.8"
"","low","3.6","14.9","0.0","2.1","19.2","0.0","0.1","4.6"
"Todd Gurley II","ATL","10.0","37.1","0.3","1.4","9.6","0.0","0.1","6.4"
"","high","13.8","50.4","0.5","3.0","16.5","0.1","0.1","9.5"
"","low","3.0","10.0","0.0","0.0","0.0","0.0","0.1","1.0"
"Chase Edmonds","ARI","5.9","27.3","0.1","3.2","23.8","0.1","0.0","6.4"
"","high","7.4","39.0","0.2","3.6","27.5","0.2","0.0","7.1"
"","low","4.9","20.6","0.0","3.0","22.0","0.0","0.1","4.8"
"Carlos Hyde","SEA","9.8","37.5","0.2","1.8","9.1","0.0","0.1","5.9"
"","high","14.8","55.5","0.4","3.0","11.4","0.1","0.0","6.9"
"","low","6.7","27.2","0.0","1.0","5.5","0.0","0.1","5.2"
"James Conner","PIT","8.2","34.8","0.3","1.5","8.3","0.0","0.1","5.9"
"","high","17.5","77.2","0.6","2.2","16.5","0.1","0.0","13.7"
"","low","3.0","10.0","0.0","0.0","0.0","0.0","0.1","1.0"
"Cam Akers","LAR","9.7","39.6","0.2","1.0","6.3","0.0","0.1","5.8"
"","high","12.3","48.0","0.3","2.8","14.8","0.1","0.0","7.2"
"","low","7.6","32.0","0.0","0.0","0.0","0.0","0.1","3.9"
"J.D. McKissic","WAS","4.4","18.8","0.1","4.1","31.9","0.1","0.1","5.7"
"","high","6.2","26.0","0.1","6.0","44.0","0.2","0.0","6.3"
"","low","3.1","12.7","0.0","3.1","25.5","0.0","0.2","5.0"
"Brian Hill","ATL","8.5","34.1","0.1","1.7","11.8","0.0","0.1","5.2"
"","high","11.0","47.5","0.2","3.0","19.0","0.1","0.0","6.2"
"","low","5.5","21.6","0.0","0.9","6.9","0.0","0.1","3.7"
"Le'Veon Bell","KC","8.0","29.6","0.1","2.0","12.7","0.0","0.1","5.1"
"","high","12.1","40.0","0.2","3.7","19.4","0.1","0.0","6.1"
"","low","5.0","18.0","0.0","1.2","8.8","0.0","0.1","3.4"
