"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.0","73.4","0.6","0.0","17.1"
"","high","6.5","84.0","1.0","0.0","19.7"
"","low","5.2","61.0","0.5","0.1","15.1"
"Darren Waller","LV","6.5","69.5","0.5","0.1","16.3"
"","high","7.6","84.1","1.0","0.0","19.7"
"","low","5.4","59.5","0.3","0.1","14.6"
"T.J. Hockenson","DET","4.6","53.0","0.5","0.0","13.1"
"","high","5.4","62.0","1.0","0.0","16.1"
"","low","3.7","41.6","0.3","0.1","12.2"
"Noah Fant","DEN","4.2","51.5","0.5","0.0","12.1"
"","high","4.5","57.0","1.0","0.0","15.7"
"","low","4.0","47.3","0.3","0.1","10.8"
"Mark Andrews","BAL","3.9","49.5","0.5","0.0","11.8"
"","high","5.0","58.0","1.0","0.0","15.7"
"","low","3.2","39.6","0.4","0.0","10.4"
"Hunter Henry","LAC","4.3","52.1","0.3","0.0","11.4"
"","high","6.0","77.0","0.5","0.0","15.2"
"","low","3.0","39.0","0.0","0.1","8.2"
"Jared Cook","NO","3.8","48.8","0.5","0.0","11.4"
"","high","5.0","60.9","1.0","0.0","15.3"
"","low","3.1","41.7","0.2","0.0","9.4"
"Robert Tonyan","GB","3.8","46.4","0.5","0.0","11.3"
"","high","6.0","65.0","1.0","0.0","16.3"
"","low","2.8","32.9","0.1","0.0","9.0"
"Rob Gronkowski","TB","3.6","48.4","0.4","0.0","11.0"
"","high","4.5","69.1","1.0","0.0","13.9"
"","low","3.2","37.0","0.2","0.0","9.7"
"Hayden Hurst","ATL","4.0","46.4","0.3","0.0","10.6"
"","high","4.8","52.9","0.6","0.0","12.2"
"","low","3.4","40.0","0.0","0.0","9.1"
"Jordan Reed","SF","4.4","47.0","0.2","0.0","10.5"
"","high","7.3","80.5","0.5","0.0","15.7"
"","low","1.9","18.5","0.0","0.1","8.0"
"Evan Engram","NYG","4.4","46.7","0.2","0.0","10.1"
"","high","5.2","58.4","0.4","0.0","11.6"
"","low","4.0","39.0","0.0","0.0","9.3"
"Jonnu Smith","TEN","3.7","42.7","0.3","0.0","9.8"
"","high","4.9","57.2","0.6","0.0","12.4"
"","low","2.7","32.3","0.0","0.0","8.1"
"Eric Ebron","PIT","3.9","43.3","0.3","0.0","9.7"
"","high","5.2","58.0","0.5","0.0","11.4"
"","low","2.8","30.3","0.0","0.1","8.3"
"Jimmy Graham","CHI","3.8","39.8","0.2","0.0","9.0"
"","high","4.8","54.4","0.4","0.0","9.8"
"","low","3.0","31.8","0.0","0.0","7.7"
"Mike Gesicki","MIA","3.6","42.2","0.2","0.0","8.8"
"","high","4.6","54.0","0.3","0.0","10.6"
"","low","2.7","33.1","0.0","0.1","8.0"
"Trey Burton","IND","3.4","34.3","0.3","0.0","8.6"
"","high","5.3","50.0","1.0","0.0","13.9"
