"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.0","73.4","0.6","0.0","11.1"
"","high","6.5","84.0","1.0","0.0","13.7"
"","low","5.2","61.0","0.5","0.1","9.1"
"Darren Waller","LV","6.5","69.5","0.5","0.1","9.8"
"","high","7.6","84.1","1.0","0.0","13.2"
"","low","5.4","59.5","0.3","0.1","8.2"
"T.J. Hockenson","DET","4.6","53.0","0.5","0.0","8.4"
"","high","5.4","62.0","1.0","0.0","11.5"
"","low","3.7","41.6","0.3","0.1","7.6"
"Mark Andrews","BAL","3.9","49.5","0.5","0.0","8.0"
"","high","5.0","58.0","1.0","0.0","11.8"
"","low","3.2","39.6","0.4","0.0","6.5"
"Noah Fant","DEN","4.2","51.5","0.5","0.0","7.9"
"","high","4.5","57.0","1.0","0.0","11.5"
"","low","4.0","47.3","0.3","0.1","6.6"
"Jared Cook","NO","3.8","48.8","0.5","0.0","7.6"
"","high","5.0","60.9","1.0","0.0","11.5"
"","low","3.1","41.7","0.2","0.0","5.6"
"Robert Tonyan","GB","3.8","46.4","0.5","0.0","7.5"
"","high","6.0","65.0","1.0","0.0","12.5"
"","low","2.8","32.9","0.1","0.0","5.3"
"Rob Gronkowski","TB","3.6","48.4","0.4","0.0","7.4"
"","high","4.5","69.1","1.0","0.0","10.3"
"","low","3.2","37.0","0.2","0.0","6.1"
"Hunter Henry","LAC","4.3","52.1","0.3","0.0","7.1"
"","high","6.0","77.0","0.5","0.0","10.9"
"","low","3.0","39.0","0.0","0.1","3.9"
"Hayden Hurst","ATL","4.0","46.4","0.3","0.0","6.6"
"","high","4.8","52.9","0.6","0.0","8.3"
"","low","3.4","40.0","0.0","0.0","5.1"
"Jordan Reed","SF","4.4","47.0","0.2","0.0","6.1"
"","high","7.3","80.5","0.5","0.0","11.3"
"","low","1.9","18.5","0.0","0.1","3.7"
"Jonnu Smith","TEN","3.7","42.7","0.3","0.0","6.1"
"","high","4.9","57.2","0.6","0.0","8.7"
"","low","2.7","32.3","0.0","0.0","4.4"
"Eric Ebron","PIT","3.9","43.3","0.3","0.0","5.8"
"","high","5.2","58.0","0.5","0.0","7.5"
"","low","2.8","30.3","0.0","0.1","4.4"
"Evan Engram","NYG","4.4","46.7","0.2","0.0","5.7"
"","high","5.2","58.4","0.4","0.0","7.2"
"","low","4.0","39.0","0.0","0.0","4.9"
"Mike Gesicki","MIA","3.6","42.2","0.2","0.0","5.2"
"","high","4.6","54.0","0.3","0.0","7.0"
"","low","2.7","33.1","0.0","0.1","4.4"
"Trey Burton","IND","3.4","34.3","0.3","0.0","5.2"
"","high","5.3","50.0","1.0","0.0","10.5"
"","low","2.4","25.0","0.0","0.0","4.0"
"Jimmy Graham","CHI","3.8","39.8","0.2","0.0","5.2"
"","high","4.8","54.4","0.4","0.0","6.1"
"","low","3.0","31.8","0.0","0.0","3.9"
"Logan Thomas","WAS","3.6","35.8","0.2","0.0","4.7"
"","high","5.6","51.8","0.5","0.0","6.2"
"","low","2.8","25.2","0.0","0.0","3.5"
"Jake Butt","DEN","3.0","35.0","0.1","0.0","4.1"
"","high","3.0","35.0","0.1","0.0","3.7"
"","low","3.0","35.0","0.1","0.0","3.7"
"Dalton Schultz","DAL","3.2","34.6","0.1","0.0","4.1"
"","high","3.7","39.0","0.2","0.0","4.6"
"","low","2.9","30.0","0.0","0.1","3.3"
"Albert Okwuegbunam","DEN","2.6","29.9","0.2","0.0","3.9"
"","high","3.0","37.4","0.3","0.0","5.3"
"","low","1.6","18.5","0.0","0.1","2.7"
"Greg Olsen","SEA","2.7","29.1","0.2","0.0","3.9"
"","high","3.0","35.2","0.4","0.0","4.9"
"","low","2.3","24.2","0.0","0.0","3.3"
"Jordan Akins","HOU","2.7","30.1","0.1","0.0","3.9"
"","high","3.4","40.2","0.3","0.0","4.6"
"","low","2.2","23.0","0.0","0.0","2.9"
"Anthony Firkser","TEN","2.3","27.0","0.2","0.0","3.7"
"","high","2.6","33.9","0.3","0.0","4.7"
"","low","1.9","19.9","0.0","0.0","3.0"
"Tyler Eifert","JAC","2.4","27.1","0.2","0.0","3.6"
"","high","2.6","31.7","0.2","0.0","4.4"
"","low","2.2","21.0","0.0","0.0","3.3"
"Darren Fells","HOU","2.0","22.5","0.2","0.0","3.4"
"","high","3.0","33.0","0.4","0.0","5.1"
"","low","1.3","14.4","0.0","0.0","2.4"
"Irv Smith Jr.","MIN","2.4","25.7","0.1","0.0","3.3"
"","high","3.9","39.1","0.2","0.0","4.4"
"","low","1.6","13.0","0.0","0.0","1.7"
"Jack Doyle","IND","2.3","23.6","0.1","0.0","3.1"
"","high","3.2","32.4","0.3","0.0","4.8"
"","low","1.4","13.0","0.0","0.1","1.8"
"Kyle Rudolph","MIN","2.0","20.9","0.2","0.0","3.0"
"","high","2.7","26.3","0.3","0.0","3.4"
"","low","1.7","17.0","0.0","0.0","1.9"
"Mo Alie-Cox","IND","1.6","21.6","0.1","0.0","2.9"
"","high","2.0","29.2","0.2","0.0","3.8"
"","low","1.0","10.0","0.0","0.0","1.0"
"Chris Herndon IV","NYJ","2.3","23.1","0.1","0.1","2.7"
