"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.5","86.2","0.5","0.0","11.6"
"","high","7.0","93.4","0.6","0.0","12.3"
"","low","6.4","77.8","0.4","0.1","10.9"
"Darren Waller","LV","6.4","68.2","0.5","0.1","9.6"
"","high","6.8","74.5","0.5","0.0","10.6"
"","low","6.2","63.1","0.4","0.1","9.2"
"T.J. Hockenson","DET","4.4","51.8","0.4","0.0","7.5"
"","high","4.6","54.8","0.4","0.0","7.9"
"","low","4.2","47.9","0.3","0.0","6.5"
"Mark Andrews","BAL","3.9","50.1","0.4","0.0","7.2"
"","high","4.6","54.2","0.5","0.0","8.3"
"","low","3.3","42.1","0.0","0.0","7.2"
"Robert Tonyan","GB","3.5","42.4","0.4","0.0","6.7"
"","high","4.4","53.8","0.5","0.0","7.1"
"","low","3.2","36.4","0.3","0.0","5.7"
"Rob Gronkowski","TB","3.5","48.1","0.3","0.0","6.6"
"","high","4.2","64.6","0.4","0.0","7.0"
"","low","3.2","41.4","0.1","0.0","5.8"
"Hunter Henry","LAC","4.0","46.2","0.3","0.0","6.3"
"","high","4.8","57.1","0.3","0.0","6.8"
"","low","3.3","37.5","0.2","0.1","5.3"
"Eric Ebron","PIT","4.3","46.0","0.3","0.0","6.2"
"","high","5.3","58.6","0.4","0.0","7.1"
"","low","3.7","38.2","0.2","0.1","5.6"
"Evan Engram","NYG","4.5","49.3","0.2","0.0","6.1"
"","high","5.3","60.1","0.4","0.0","7.0"
"","low","3.9","44.1","0.0","0.1","5.6"
"Mike Gesicki","MIA","3.8","46.0","0.3","0.0","6.1"
"","high","5.2","60.2","0.3","0.0","6.6"
"","low","3.0","38.5","0.1","0.1","5.6"
"Noah Fant","DEN","4.2","47.8","0.2","0.0","5.9"
"","high","4.7","59.3","0.3","0.0","6.5"
"","low","3.6","40.4","0.0","0.1","5.2"
"Dallas Goedert","PHI","4.0","44.9","0.2","0.0","5.7"
"","high","5.7","60.5","0.3","0.0","6.1"
"","low","3.0","35.1","0.0","0.1","5.3"
"Hayden Hurst","ATL","3.9","41.7","0.2","0.0","5.6"
"","high","4.5","52.4","0.3","0.0","6.3"
"","low","3.4","34.9","0.1","0.0","4.9"
