"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","7.8","99.3","1.0","0.0","0.0","0.0","0.1","23.5"
"","high","8.3","104.6","1.2","0.0","0.1","0.0","0.0","24.9"
"","low","7.6","94.7","0.8","0.0","0.0","0.0","0.1","22.2"
"Tyreek Hill","KC","6.0","89.8","0.7","1.0","6.8","0.1","0.0","20.2"
"","high","6.3","93.3","0.8","1.4","10.6","0.1","0.0","21.5"
"","low","5.7","81.8","0.7","0.8","5.3","0.0","0.1","19.3"
"Keenan Allen","LAC","7.0","81.3","0.5","0.1","0.8","0.0","0.1","17.9"
"","high","7.6","88.6","0.5","0.3","1.8","0.0","0.0","18.9"
"","low","5.9","71.5","0.4","0.0","0.0","0.0","0.1","17.0"
"DeAndre Hopkins","ARI","6.5","81.9","0.5","0.0","0.1","0.0","0.1","17.3"
"","high","7.4","89.5","0.5","0.0","0.1","0.0","0.0","17.9"
"","low","5.6","76.5","0.4","0.0","0.0","0.0","0.1","16.5"
"D.K. Metcalf","SEA","5.1","84.9","0.6","0.0","0.2","0.0","0.1","17.3"
"","high","5.5","88.0","0.7","0.1","0.4","0.0","0.0","18.1"
"","low","4.9","82.2","0.5","0.0","0.0","0.0","0.2","16.5"
"Stefon Diggs","BUF","6.5","80.6","0.4","0.2","1.0","0.0","0.0","17.2"
"","high","7.0","83.8","0.5","0.4","2.4","0.0","0.0","17.6"
"","low","6.0","78.0","0.3","0.0","0.0","0.0","0.1","16.3"
"Adam Thielen","MIN","5.8","75.3","0.6","0.2","1.0","0.0","0.1","16.9"
"","high","6.2","81.4","0.7","0.3","1.8","0.0","0.0","17.6"
"","low","5.4","66.4","0.5","0.0","0.1","0.0","0.1","16.6"
"Justin Jefferson","MIN","5.4","84.9","0.5","0.2","0.7","0.0","0.0","16.7"
"","high","5.8","93.7","0.6","0.4","1.8","0.0","0.0","18.6"
"","low","4.9","78.7","0.3","0.1","0.1","0.0","0.1","15.9"
"Julio Jones","ATL","5.9","83.1","0.4","0.1","0.2","0.0","0.0","16.6"
"","high","6.6","89.6","0.5","0.1","0.4","0.0","0.0","17.1"
"","low","5.3","77.6","0.3","0.0","0.0","0.0","0.1","15.9"
"Calvin Ridley","ATL","5.3","73.8","0.6","0.2","1.3","0.0","0.0","16.2"
"","high","5.7","79.5","0.8","0.3","2.1","0.0","0.0","17.7"
"","low","4.7","65.5","0.4","0.0","0.0","0.0","0.1","15.2"
"Tyler Lockett","SEA","5.7","71.7","0.5","0.3","1.2","0.0","0.0","16.0"
"","high","5.9","78.6","0.6","0.6","4.1","0.0","0.0","16.7"
"","low","5.2","67.9","0.4","0.0","0.0","0.0","0.1","15.1"
"A.J. Brown","TEN","4.6","77.8","0.6","0.1","1.2","0.0","0.0","15.9"
"","high","5.2","83.5","0.7","0.2","2.8","0.0","0.0","17.2"
"","low","4.3","69.9","0.5","0.0","0.0","0.0","0.1","15.1"
"Allen Robinson II","CHI","6.0","72.8","0.4","0.1","0.1","0.0","0.0","15.8"
"","high","6.5","77.5","0.5","0.1","0.2","0.0","0.0","15.8"
"","low","5.4","70.8","0.4","0.0","0.0","0.0","0.1","15.6"
"Michael Thomas","NO","6.2","72.2","0.4","0.0","0.1","0.0","0.0","15.6"
"","high","6.8","78.9","0.5","0.1","0.3","0.0","0.0","16.8"
"","low","5.4","63.7","0.3","0.0","-0.1","0.0","0.1","14.8"
"Robert Woods","LAR","5.8","69.7","0.3","1.2","7.1","0.1","0.0","15.5"
"","high","6.3","80.1","0.4","1.6","10.0","0.1","0.0","16.3"
"","low","5.2","62.8","0.1","0.8","4.8","0.1","0.1","14.9"
"Terry McLaurin","WAS","5.6","77.9","0.3","0.1","1.1","0.0","0.0","15.4"
"","high","6.4","87.5","0.4","0.2","1.9","0.0","0.0","16.1"
"","low","4.8","69.3","0.3","0.1","0.7","0.0","0.1","14.7"
"Brandin Cooks","HOU","5.2","76.3","0.3","0.2","1.0","0.0","0.0","14.9"
"","high","5.8","81.1","0.5","0.4","2.5","0.0","0.0","15.9"
"","low","4.9","72.4","0.2","0.0","0.0","0.0","0.1","14.7"
