"Player","Team","REC","YDS","TDS","FL","FPTS"
"","low","1.0","10.8","0.0","0.2","2.2"
"Ryan Griffin","NYJ","1.5","14.5","0.1","0.0","2.6"
"","high","1.9","18.7","0.1","0.0","3.3"
"","low","1.0","10.2","0.0","0.0","2.2"
"Marcedes Lewis","GB","1.2","13.0","0.1","0.0","2.6"
"","high","1.6","17.4","0.3","0.0","3.8"
"","low","0.6","7.5","0.0","0.0","2.1"
"Nick Vannett","DEN","1.5","14.3","0.1","0.0","2.6"
"","high","2.1","19.1","0.1","0.0","3.0"
"","low","1.0","9.3","0.0","0.0","2.1"
"Maxx Williams","ARI","1.6","15.2","0.1","0.0","2.6"
"","high","2.4","21.8","0.1","0.0","2.3"
"","low","0.8","8.7","0.0","0.1","2.3"
"Foster Moreau","LV","1.3","13.1","0.1","0.0","2.5"
"","high","1.6","15.5","0.2","0.0","2.9"
"","low","0.9","10.7","0.0","0.0","2.9"
"Ross Dwelley","SF","1.4","14.2","0.1","0.0","2.5"
"","high","2.5","23.5","0.1","0.0","2.8"
"","low","0.8","7.9","0.0","0.0","1.9"
"Adam Shaheen","MIA","1.1","10.9","0.1","0.0","2.4"
"","high","1.7","16.7","0.2","0.0","2.6"
"","low","0.7","7.5","0.1","0.0","1.7"
"Jace Sternberger","GB","1.2","12.6","0.1","0.0","2.2"
"","high","1.7","18.4","0.1","0.0","2.4"
"","low","0.7","7.7","0.0","0.0","2.0"
"Luke Willson","BAL","1.6","13.9","0.0","0.0","2.2"
"","high","2.7","23.2","0.0","0.0","1.3"
"","low","0.5","4.6","0.0","0.0","1.3"
"Kaden Smith","NYG","1.4","11.5","0.1","0.0","2.2"
"","high","1.9","14.7","0.1","0.0","2.3"
"","low","1.1","10.0","0.0","0.0","2.2"
"Nick Keizer","KC","1.4","15.5","0.0","0.0","2.2"
"","high","1.4","15.5","0.0","0.0","0.0"
"","low","1.4","15.5","0.0","0.0","0.0"
"Richard Rodgers","PHI","1.0","13.2","0.1","0.0","2.2"
"","high","1.1","15.0","0.1","0.0","2.6"
"","low","0.8","12.0","0.0","0.0","2.4"
"Adam Trautman","NO","1.1","12.0","0.1","0.0","2.2"
"","high","1.6","17.8","0.1","0.0","2.6"
"","low","0.6","5.9","0.0","0.0","1.8"
"Pharaoh Brown","HOU","1.2","13.2","0.1","0.0","2.2"
"","high","1.2","13.4","0.1","0.0","2.5"
"","low","1.2","13.1","0.0","0.0","2.5"
"Donald Parham Jr.","LAC","1.0","11.9","0.1","0.0","2.2"
"","high","1.7","18.5","0.1","0.0","2.5"
"","low","0.6","6.6","0.1","0.0","1.6"
"Ricky Seals-Jones","KC","0.8","11.1","0.1","0.0","2.1"
"","high","0.8","11.1","0.1","0.0","2.1"
"","low","0.8","11.1","0.1","0.0","2.1"
"Geoff Swaim","TEN","1.2","10.6","0.1","0.0","2.1"
"","high","1.9","16.4","0.1","0.0","2.1"
"","low","0.6","6.0","0.0","0.0","1.8"
"Jason Witten","LV","1.3","11.2","0.1","0.0","2.0"
"","high","1.9","16.4","0.1","0.0","1.8"
"","low","0.7","5.9","0.0","0.0","1.8"
"Josh Hill","NO","1.3","11.0","0.1","0.0","2.0"
"","high","1.3","12.6","0.1","0.0","2.2"
"","low","1.2","9.4","0.0","0.0","2.2"
"Jaeden Graham","ATL","1.1","11.6","0.1","0.0","2.0"
"","high","1.2","12.8","0.1","0.0","2.2"
"","low","1.0","10.5","0.0","0.0","2.2"
"Troy Fumagalli","DEN","1.1","11.7","0.0","0.0","1.9"
"","high","1.3","14.0","0.1","0.0","1.9"
"","low","0.9","9.5","0.0","0.0","1.9"
"Gabe Nabers","LAC","1.2","12.7","0.0","0.0","1.8"
"","high","1.2","12.7","0.0","0.0","0.0"
"","low","1.2","12.7","0.0","0.0","0.0"
"Chris Manhertz","CAR","1.0","11.4","0.0","0.0","1.8"
"","high","1.3","15.7","0.1","0.0","1.5"
"","low","0.6","7.1","0.0","0.0","1.5"
"Stephen Anderson","LAC","1.0","10.9","0.0","0.0","1.8"
"","high","1.1","12.6","0.1","0.0","1.9"
"","low","0.8","9.1","0.0","0.0","1.9"
"Charlie Woerner","SF","1.1","12.6","0.0","0.0","1.8"
"","high","1.6","17.7","0.0","0.0","1.3"
"","low","0.6","7.4","0.0","0.0","1.3"
"Kahale Warring","HOU","0.9","9.9","0.1","0.0","1.8"
"","high","1.3","13.9","0.1","0.0","1.9"
"","low","0.7","8.2","0.0","0.0","1.6"
"Brycen Hopkins","LAR","0.7","7.9","0.1","0.0","1.7"
"","high","0.7","7.9","0.1","0.0","1.7"
"","low","0.7","7.9","0.1","0.0","1.7"
"Cethan Carter","CIN","1.1","12.1","0.0","0.0","1.7"
"","high","1.1","12.1","0.0","0.0","0.0"
"","low","1.1","12.1","0.0","0.0","0.0"
"Stephen Carlson","CLE","0.9","9.7","0.1","0.0","1.7"
"","high","1.3","13.8","0.1","0.0","2.4"
"","low","0.5","5.7","0.0","0.0","2.4"
"Farrod Green","IND","0.7","7.7","0.1","0.0","1.7"
"","high","0.7","7.7","0.1","0.0","1.7"
"","low","0.7","7.7","0.1","0.0","1.7"
"Tyler Kroft","BUF","0.8","7.5","0.1","0.0","1.7"
"","high","1.2","12.0","0.2","0.0","2.8"
"","low","0.4","4.0","0.0","0.0","1.5"
"Antony Auclair","TB","0.8","6.6","0.1","0.0","1.7"
"","high","0.8","6.6","0.1","0.0","1.7"
"","low","0.8","6.6","0.1","0.0","1.7"
"Colin Thompson","CAR","0.9","9.2","0.1","0.0","1.7"
"","high","1.1","11.9","0.1","0.0","1.7"
"","low","0.7","6.6","0.0","0.0","1.7"
"Lee Smith","BUF","0.8","6.4","0.1","0.0","1.6"
"","high","1.0","7.3","0.2","0.0","2.1"
"","low","0.6","5.4","0.0","0.0","2.1"
"Evan Baylis","ARI","0.7","6.6","0.1","0.0","1.6"
"","high","0.7","6.6","0.1","0.0","1.6"
"","low","0.7","6.6","0.1","0.0","1.6"
"Blake Bell","DAL","1.1","10.8","0.0","0.0","1.6"
"","high","1.2","12.6","0.0","0.0","1.4"
"","low","0.9","9.0","0.0","0.0","1.4"
"Daniel Helm","SF","0.6","6.6","0.1","0.0","1.6"
"","high","0.6","6.6","0.1","0.0","1.6"
"","low","0.6","6.6","0.1","0.0","1.6"
"Hunter Bryant","DET","0.8","8.6","0.1","0.0","1.5"
"","high","0.9","9.5","0.1","0.0","1.8"
"","low","0.7","7.7","0.0","0.0","1.8"
"Jeremy Sprinkle","WAS","0.7","5.9","0.1","0.0","1.5"
"","high","0.7","5.9","0.1","0.0","1.5"
"","low","0.7","5.9","0.1","0.0","1.5"
"Johnny Mundt","LAR","1.0","10.6","0.0","0.0","1.5"
"","high","1.0","10.6","0.0","0.0","0.0"
"","low","1.0","10.6","0.0","0.0","0.0"
"Derek Carrier","LV","0.6","6.0","0.1","0.0","1.5"
"","high","0.6","6.0","0.1","0.0","1.5"
"","low","0.6","6.0","0.1","0.0","1.5"
"Temarrick Hemingway","WAS","1.0","10.4","0.0","0.0","1.5"
"","high","1.0","10.4","0.0","0.0","0.0"
"","low","1.0","10.4","0.0","0.0","0.0"
"Luke Stocker","ATL","1.1","9.1","0.0","0.0","1.5"
"","high","1.5","12.7","0.0","0.0","1.1"
"","low","0.7","5.4","0.0","0.0","1.1"
"Jason Croom","PHI","0.6","5.5","0.1","0.0","1.5"
"","high","0.6","5.5","0.1","0.0","1.5"
"","low","0.6","5.5","0.1","0.0","1.5"
"Seth DeValve","ARI","0.9","10.3","0.0","0.0","1.4"
"","high","1.0","12.2","0.0","0.0","1.3"
"","low","0.7","8.3","0.0","0.0","1.3"
"Vance McDonald","PIT","0.9","9.5","0.0","0.0","1.4"
"","high","1.3","14.1","0.0","0.0","1.0"
"","low","0.6","5.0","0.0","0.0","1.0"
"Tyler Conklin","MIN","0.9","8.8","0.0","0.0","1.3"
"","high","1.3","11.9","0.0","0.0","1.0"
"","low","0.6","5.6","0.0","0.0","1.0"
"Jordan Thomas","NE","0.6","4.4","0.1","0.0","1.3"
"","high","0.6","4.4","0.1","0.0","1.3"
"","low","0.6","4.4","0.1","0.0","1.3"
"Colby Parkinson","SEA","0.6","6.9","0.1","0.0","1.3"
"","high","0.7","7.8","0.1","0.0","1.7"
"","low","0.6","6.1","0.0","0.0","1.7"
"Demetrius Harris","CHI","0.7","6.5","0.1","0.0","1.3"
"","high","0.8","6.6","0.1","0.0","1.6"
"","low","0.6","6.3","0.0","0.0","1.6"
"Deon Yelder","KC","0.8","8.4","0.0","0.0","1.2"
"","high","1.3","13.9","0.0","0.0","0.7"
"","low","0.3","3.0","0.0","0.0","0.7"
"Eric Tomlinson","BAL","0.7","7.6","0.0","0.0","1.1"
"","high","1.0","11.3","0.0","0.0","0.8"
"","low","0.5","3.8","0.0","0.0","0.8"
"Levine Toilolo","NYG","0.7","7.3","0.0","0.0","1.1"
"","high","0.7","8.3","0.0","0.0","1.0"
"","low","0.6","6.3","0.0","0.0","1.0"
"Andrew Beck","DEN","0.4","4.7","0.1","0.0","1.0"
"","high","0.5","5.1","0.1","0.0","1.2"
"","low","0.4","4.3","0.0","0.0","1.2"
"Eric Saubert","JAC","0.7","6.5","0.0","0.0","1.0"
"","high","0.8","9.0","0.0","0.0","0.7"
"","low","0.5","4.0","0.0","0.0","0.7"
"Jakob Johnson","NE","0.4","1.6","0.1","0.0","1.0"
"","high","0.4","1.6","0.1","0.0","1.0"
"","low","0.4","1.6","0.1","0.0","1.0"
"Jake Butt","DEN","0.7","5.7","0.0","0.0","0.9"
"","high","0.7","5.7","0.0","0.0","0.9"
"","low","0.7","5.7","0.0","0.0","0.9"
"Mason Schreck","CIN","0.6","6.3","0.0","0.0","0.9"
"","high","0.6","6.3","0.0","0.0","0.0"
"","low","0.6","6.3","0.0","0.0","0.0"
"Brandon Dillon","MIN","0.5","5.9","0.0","0.0","0.9"
"","high","0.5","5.9","0.0","0.0","0.0"
"","low","0.5","5.9","0.0","0.0","0.0"
"Sean McKeon","DAL","0.5","5.8","0.0","0.0","0.8"
"","high","0.5","5.8","0.0","0.0","0.0"
"","low","0.5","5.8","0.0","0.0","0.0"
"Tanner Hudson","TB","0.5","5.0","0.0","0.0","0.7"
"","high","0.5","5.0","0.0","0.0","0.0"
"","low","0.5","5.0","0.0","0.0","0.0"
"J.P. Holtz","CHI","0.4","4.7","0.0","0.0","0.7"
"","high","0.5","5.5","0.0","0.0","0.6"
"","low","0.3","3.9","0.0","0.0","0.6"
"Trevon Wesco","NYJ","0.4","4.1","0.0","0.0","0.6"
"","high","0.4","4.1","0.0","0.0","0.6"
"","low","0.4","4.1","0.0","0.0","0.6"
"Daniel Brown","NYJ","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
""
""
